O*NET-SOC Code,Occupation,soc2019_code,soc2010_code,soc2010_6,isco08_code,isco08_title,4-digit code,Exposure,Mean
15-1299.09,Information Technology Project Managers,15-1299.09,15-1199.09,15-1199,2529,Database and network professionals not elsewhere classified,2529,Gradient 2,0.49
15-2011.00,Actuaries,15-2011.00,15-2011.00,15-2011,2120,"Mathematicians, actuaries and statisticians",2120,Gradient 3,0.56
15-2021.00,Mathematicians,15-2021.00,15-2021.00,15-2021,2120,"Mathematicians, actuaries and statisticians",2120,Gradient 3,0.56
15-2031.00,Operations Research Analysts,15-2031.00,15-2031.00,15-2031,2120,"Mathematicians, actuaries and statisticians",2120,Gradient 3,0.56
15-2041.00,Statisticians,15-2041.00,15-2041.00,15-2041,2120,"Mathematicians, actuaries and statisticians",2120,Gradient 3,0.56
15-2041.01,Biostatisticians,15-2041.01,15-2041.01,15-2041,2120,"Mathematicians, actuaries and statisticians",2120,Gradient 3,0.56
15-2051.00,Data Scientists,15-2051.00,15-2099.00,15-2099,3314,"Statistical, mathematical and related associate professionals",3314,Gradient 3,0.57
15-2051.01,Business Intelligence Analysts,15-2051.01,15-1199.08,15-1199,2519,Software and applications developers and analysts not elsewhere classified,2519,Gradient 3,0.55
15-2051.01,Business Intelligence Analysts,15-2051.01,15-1199.08,15-1199,2529,Database and network professionals not elsewhere classified,2529,Gradient 2,0.49
15-2051.02,Clinical Data Managers,15-2051.02,15-2041.02,15-2041,2120,"Mathematicians, actuaries and statisticians",2120,Gradient 3,0.56
15-2099.00,"Mathematical Science Occupations, All Other",15-2099.00,15-2091.00,15-2091,3314,"Statistical, mathematical and related associate professionals",3314,Gradient 3,0.57
15-2099.00,"Mathematical Science Occupations, All Other",15-2099.00,15-2099.00,15-2099,3314,"Statistical, mathematical and related associate professionals",3314,Gradient 3,0.57
15-2099.01,Bioinformatics Technicians,15-2099.01,43-9111.01,43-9111,3314,"Statistical, mathematical and related associate professionals",3314,Gradient 3,0.57
17-1011.00,"Architects, Except Landscape and Naval",17-1011.00,17-1011.00,17-1011,2161,Building architects,2161,Minimal Exposure,0.37
17-1012.00,Landscape Architects,17-1012.00,17-1012.00,17-1012,2162,Landscape architects,2162,Minimal Exposure,0.37
17-1021.00,Cartographers and Photogrammetrists,17-1021.00,17-1021.00,17-1021,2165,Cartographers and surveyors,2165,Gradient 2,0.44
17-1022.00,Surveyors,17-1022.00,17-1022.00,17-1022,2165,Cartographers and surveyors,2165,Gradient 2,0.44
17-1022.01,Geodetic Surveyors,17-1022.01,17-1022.01,17-1022,2165,Cartographers and surveyors,2165,Gradient 2,0.44
17-2011.00,Aerospace Engineers,17-2011.00,17-2011.00,17-2011,2144,Mechanical engineers,2144,Not Exposed,0.32
17-2021.00,Agricultural Engineers,17-2021.00,17-2021.00,17-2021,2144,Mechanical engineers,2144,Not Exposed,0.32
17-2031.00,Bioengineers and Biomedical Engineers,17-2031.00,17-2031.00,17-2031,2149,Engineering professionals not elsewhere classified,2149,Not Exposed,0.3
17-2031.00,Bioengineers and Biomedical Engineers,17-2031.00,17-2199.01,17-2199,2149,Engineering professionals not elsewhere classified,2149,Not Exposed,0.3
17-2041.00,Chemical Engineers,17-2041.00,17-2041.00,17-2041,2145,Chemical engineers,2145,Minimal Exposure,0.35
17-2051.00,Civil Engineers,17-2051.00,17-2051.00,17-2051,2142,Civil engineers,2142,Not Exposed,0.3
17-2051.01,Transportation Engineers,17-2051.01,17-2051.01,17-2051,2142,Civil engineers,2142,Not Exposed,0.3
17-2051.02,Water/Wastewater Engineers,17-2051.02,17-2081.01,17-2081,2143,Environmental engineers,2143,Minimal Exposure,0.38
17-2061.00,Computer Hardware Engineers,17-2061.00,17-2061.00,17-2061,2152,Electronics engineers,2152,Gradient 2,0.42
17-2071.00,Electrical Engineers,17-2071.00,17-2071.00,17-2071,2151,Electrical engineers,2151,Not Exposed,0.31
17-2072.00,"Electronics Engineers, Except Computer",17-2072.00,17-2072.00,17-2072,2153,Telecommunications engineers,2153,Gradient 2,0.48
17-2072.00,"Electronics Engineers, Except Computer",17-2072.00,17-2072.00,17-2072,2152,Electronics engineers,2152,Gradient 2,0.42
17-2072.01,Radio Frequency Identification Device Specialists,17-2072.01,17-2072.01,17-2072,2153,Telecommunications engineers,2153,Gradient 2,0.48
17-2072.01,Radio Frequency Identification Device Specialists,17-2072.01,17-2072.01,17-2072,2152,Electronics engineers,2152,Gradient 2,0.42
17-2081.00,Environmental Engineers,17-2081.00,17-2081.00,17-2081,2143,Environmental engineers,2143,Minimal Exposure,0.38
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",17-2111.00,17-2111.00,17-2111,2149,Engineering professionals not elsewhere classified,2149,Not Exposed,0.3
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",17-2111.00,17-2111.01,17-2111,2149,Engineering professionals not elsewhere classified,2149,Not Exposed,0.3
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",17-2111.00,17-2111.03,17-2111,2149,Engineering professionals not elsewhere classified,2149,Not Exposed,0.3
17-2111.02,Fire-Prevention and Protection Engineers,17-2111.02,17-2111.02,17-2111,2149,Engineering professionals not elsewhere classified,2149,Not Exposed,0.3
17-2112.00,Industrial Engineers,17-2112.00,17-2112.00,17-2112,2141,Industrial and production engineers,2141,Minimal Exposure,0.37
17-2112.01,Human Factors Engineers and Ergonomists,17-2112.01,17-2112.01,17-2112,2141,Industrial and production engineers,2141,Minimal Exposure,0.37
17-2112.02,Validation Engineers,17-2112.02,17-2199.02,17-2199,2149,Engineering professionals not elsewhere classified,2149,Not Exposed,0.3
17-2112.03,Manufacturing Engineers,17-2112.03,17-2199.04,17-2199,2149,Engineering professionals not elsewhere classified,2149,Not Exposed,0.3
17-2121.00,Marine Engineers and Naval Architects,17-2121.00,17-2121.00,17-2121,2144,Mechanical engineers,2144,Not Exposed,0.32
17-2121.00,Marine Engineers and Naval Architects,17-2121.00,17-2121.01,17-2121,2144,Mechanical engineers,2144,Not Exposed,0.32
17-2121.00,Marine Engineers and Naval Architects,17-2121.00,17-2121.02,17-2121,2144,Mechanical engineers,2144,Not Exposed,0.32
17-2131.00,Materials Engineers,17-2131.00,17-2131.00,17-2131,2146,"Mining engineers, metallurgists and related professionals",2146,Not Exposed,0.29
17-2131.00,Materials Engineers,17-2131.00,17-2131.00,17-2131,2149,Engineering professionals not elsewhere classified,2149,Not Exposed,0.3
17-2141.00,Mechanical Engineers,17-2141.00,17-2141.00,17-2141,2144,Mechanical engineers,2144,Not Exposed,0.32
17-2141.01,Fuel Cell Engineers,17-2141.01,17-2141.01,17-2141,2144,Mechanical engineers,2144,Not Exposed,0.32
17-2141.02,Automotive Engineers,17-2141.02,17-2141.02,17-2141,2144,Mechanical engineers,2144,Not Exposed,0.32
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",17-2151.00,17-2151.00,17-2151,2146,"Mining engineers, metallurgists and related professionals",2146,Not Exposed,0.29
17-2161.00,Nuclear Engineers,17-2161.00,17-2161.00,17-2161,2149,Engineering professionals not elsewhere classified,2149,Not Exposed,0.3
17-2171.00,Petroleum Engineers,17-2171.00,17-2171.00,17-2171,2146,"Mining engineers, metallurgists and related professionals",2146,Not Exposed,0.29
17-2199.00,"Engineers, All Other",17-2199.00,17-2199.00,17-2199,2149,Engineering professionals not elsewhere classified,2149,Not Exposed,0.3
17-2199.03,"Energy Engineers, Except Wind and Solar",17-2199.03,17-2199.03,17-2199,2149,Engineering professionals not elsewhere classified,2149,Not Exposed,0.3
17-2199.05,Mechatronics Engineers,17-2199.05,17-2199.05,17-2199,2149,Engineering professionals not elsewhere classified,2149,Not Exposed,0.3
17-2199.06,Microsystems Engineers,17-2199.06,17-2199.06,17-2199,2149,Engineering professionals not elsewhere classified,2149,Not Exposed,0.3
17-2199.07,Photonics Engineers,17-2199.07,17-2199.07,17-2199,2149,Engineering professionals not elsewhere classified,2149,Not Exposed,0.3
17-2199.08,Robotics Engineers,17-2199.08,17-2199.08,17-2199,2149,Engineering professionals not elsewhere classified,2149,Not Exposed,0.3
17-2199.09,Nanosystems Engineers,17-2199.09,17-2199.09,17-2199,2149,Engineering professionals not elsewhere classified,2149,Not Exposed,0.3
17-2199.10,Wind Energy Engineers,17-2199.10,17-2199.10,17-2199,2149,Engineering professionals not elsewhere classified,2149,Not Exposed,0.3
17-2199.11,Solar Energy Systems Engineers,17-2199.11,17-2199.11,17-2199,2149,Engineering professionals not elsewhere classified,2149,Not Exposed,0.3
17-3011.00,Architectural and Civil Drafters,17-3011.00,17-3011.00,17-3011,3118,Draughtspersons,3118,Minimal Exposure,0.35
17-3011.00,Architectural and Civil Drafters,17-3011.00,17-3011.01,17-3011,3118,Draughtspersons,3118,Minimal Exposure,0.35
17-3011.00,Architectural and Civil Drafters,17-3011.00,17-3011.02,17-3011,3118,Draughtspersons,3118,Minimal Exposure,0.35
17-3012.00,Electrical and Electronics Drafters,17-3012.00,17-3012.00,17-3012,3118,Draughtspersons,3118,Minimal Exposure,0.35
17-3012.00,Electrical and Electronics Drafters,17-3012.00,17-3012.01,17-3012,3118,Draughtspersons,3118,Minimal Exposure,0.35
17-3012.00,Electrical and Electronics Drafters,17-3012.00,17-3012.02,17-3012,3118,Draughtspersons,3118,Minimal Exposure,0.35
17-3013.00,Mechanical Drafters,17-3013.00,17-3013.00,17-3013,3118,Draughtspersons,3118,Minimal Exposure,0.35
17-3019.00,"Drafters, All Other",17-3019.00,17-3019.00,17-3019,3118,Draughtspersons,3118,Minimal Exposure,0.35
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,17-3021.00,17-3021.00,17-3021,3115,Mechanical engineering technicians,3115,Not Exposed,0.26
17-3022.00,Civil Engineering Technologists and Technicians,17-3022.00,17-3022.00,17-3022,3112,Civil engineering technicians,3112,Not Exposed,0.28
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,17-3023.00,17-3023.00,17-3023,3113,Electrical engineering technicians,3113,Not Exposed,0.27
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,17-3023.00,17-3023.00,17-3023,3114,Electronics engineering technicians,3114,Minimal Exposure,0.38
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,17-3023.00,17-3023.00,17-3023,3155,Air traffic safety electronics technicians,3155,Minimal Exposure,0.34
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,17-3023.00,17-3023.00,17-3023,3522,Telecommunications engineering technicians,3522,Minimal Exposure,0.45
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,17-3023.00,17-3023.01,17-3023,3113,Electrical engineering technicians,3113,Not Exposed,0.27
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,17-3023.00,17-3023.01,17-3023,3114,Electronics engineering technicians,3114,Minimal Exposure,0.38
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,17-3023.00,17-3023.01,17-3023,3155,Air traffic safety electronics technicians,3155,Minimal Exposure,0.34
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,17-3023.00,17-3023.01,17-3023,3522,Telecommunications engineering technicians,3522,Minimal Exposure,0.45
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,17-3023.00,17-3023.03,17-3023,3113,Electrical engineering technicians,3113,Not Exposed,0.27
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,17-3023.00,17-3023.03,17-3023,3114,Electronics engineering technicians,3114,Minimal Exposure,0.38
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,17-3023.00,17-3023.03,17-3023,3155,Air traffic safety electronics technicians,3155,Minimal Exposure,0.34
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,17-3023.00,17-3023.03,17-3023,3522,Telecommunications engineering technicians,3522,Minimal Exposure,0.45
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,17-3023.00,17-3029.02,17-3029,3115,Mechanical engineering technicians,3115,Not Exposed,0.26
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,17-3023.00,17-3029.02,17-3029,3116,Chemical engineering technicians,3116,Not Exposed,0.32
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,17-3023.00,17-3029.02,17-3029,3117,Mining and metallurgical technicians,3117,Not Exposed,0.28
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,17-3023.00,17-3029.02,17-3029,3119,Physical and engineering science technicians not elsewhere classified,3119,Not Exposed,0.26
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,17-3023.00,17-3029.04,17-3029,3115,Mechanical engineering technicians,3115,Not Exposed,0.26
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,17-3023.00,17-3029.04,17-3029,3116,Chemical engineering technicians,3116,Not Exposed,0.32
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,17-3023.00,17-3029.04,17-3029,3117,Mining and metallurgical technicians,3117,Not Exposed,0.28
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,17-3023.00,17-3029.04,17-3029,3119,Physical and engineering science technicians not elsewhere classified,3119,Not Exposed,0.26
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,17-3024.00,17-3024.00,17-3024,3113,Electrical engineering technicians,3113,Not Exposed,0.27
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,17-3024.00,17-3024.00,17-3024,3115,Mechanical engineering technicians,3115,Not Exposed,0.26
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,17-3024.00,17-3029.03,17-3029,3115,Mechanical engineering technicians,3115,Not Exposed,0.26
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,17-3024.00,17-3029.03,17-3029,3116,Chemical engineering technicians,3116,Not Exposed,0.32
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,17-3024.00,17-3029.03,17-3029,3117,Mining and metallurgical technicians,3117,Not Exposed,0.28
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,17-3024.00,17-3029.03,17-3029,3119,Physical and engineering science technicians not elsewhere classified,3119,Not Exposed,0.26
17-3024.01,Robotics Technicians,17-3024.01,17-3024.01,17-3024,3113,Electrical engineering technicians,3113,Not Exposed,0.27
17-3024.01,Robotics Technicians,17-3024.01,17-3024.01,17-3024,3115,Mechanical engineering technicians,3115,Not Exposed,0.26
17-3025.00,Environmental Engineering Technologists and Technicians,17-3025.00,17-3025.00,17-3025,3119,Physical and engineering science technicians not elsewhere classified,3119,Not Exposed,0.26
17-3026.00,Industrial Engineering Technologists and Technicians,17-3026.00,17-3026.00,17-3026,3119,Physical and engineering science technicians not elsewhere classified,3119,Not Exposed,0.26
17-3026.00,Industrial Engineering Technologists and Technicians,17-3026.00,17-3029.05,17-3029,3115,Mechanical engineering technicians,3115,Not Exposed,0.26
17-3026.00,Industrial Engineering Technologists and Technicians,17-3026.00,17-3029.05,17-3029,3116,Chemical engineering technicians,3116,Not Exposed,0.32
17-3026.00,Industrial Engineering Technologists and Technicians,17-3026.00,17-3029.05,17-3029,3117,Mining and metallurgical technicians,3117,Not Exposed,0.28
17-3026.00,Industrial Engineering Technologists and Technicians,17-3026.00,17-3029.05,17-3029,3119,Physical and engineering science technicians not elsewhere classified,3119,Not Exposed,0.26
17-3026.00,Industrial Engineering Technologists and Technicians,17-3026.00,17-3029.06,17-3029,3115,Mechanical engineering technicians,3115,Not Exposed,0.26
17-3026.00,Industrial Engineering Technologists and Technicians,17-3026.00,17-3029.06,17-3029,3116,Chemical engineering technicians,3116,Not Exposed,0.32
17-3026.00,Industrial Engineering Technologists and Technicians,17-3026.00,17-3029.06,17-3029,3117,Mining and metallurgical technicians,3117,Not Exposed,0.28
17-3026.00,Industrial Engineering Technologists and Technicians,17-3026.00,17-3029.06,17-3029,3119,Physical and engineering science technicians not elsewhere classified,3119,Not Exposed,0.26
17-3026.00,Industrial Engineering Technologists and Technicians,17-3026.00,17-3029.09,17-3029,3115,Mechanical engineering technicians,3115,Not Exposed,0.26
17-3026.00,Industrial Engineering Technologists and Technicians,17-3026.00,17-3029.09,17-3029,3116,Chemical engineering technicians,3116,Not Exposed,0.32
17-3026.00,Industrial Engineering Technologists and Technicians,17-3026.00,17-3029.09,17-3029,3117,Mining and metallurgical technicians,3117,Not Exposed,0.28
17-3026.00,Industrial Engineering Technologists and Technicians,17-3026.00,17-3029.09,17-3029,3119,Physical and engineering science technicians not elsewhere classified,3119,Not Exposed,0.26
17-3026.01,Nanotechnology Engineering Technologists and Technicians,17-3026.01,17-3029.11,17-3029,3115,Mechanical engineering technicians,3115,Not Exposed,0.26
17-3026.01,Nanotechnology Engineering Technologists and Technicians,17-3026.01,17-3029.11,17-3029,3116,Chemical engineering technicians,3116,Not Exposed,0.32
17-3026.01,Nanotechnology Engineering Technologists and Technicians,17-3026.01,17-3029.11,17-3029,3117,Mining and metallurgical technicians,3117,Not Exposed,0.28
17-3026.01,Nanotechnology Engineering Technologists and Technicians,17-3026.01,17-3029.11,17-3029,3119,Physical and engineering science technicians not elsewhere classified,3119,Not Exposed,0.26
17-3026.01,Nanotechnology Engineering Technologists and Technicians,17-3026.01,17-3029.12,17-3029,3115,Mechanical engineering technicians,3115,Not Exposed,0.26
17-3026.01,Nanotechnology Engineering Technologists and Technicians,17-3026.01,17-3029.12,17-3029,3116,Chemical engineering technicians,3116,Not Exposed,0.32
17-3026.01,Nanotechnology Engineering Technologists and Technicians,17-3026.01,17-3029.12,17-3029,3117,Mining and metallurgical technicians,3117,Not Exposed,0.28
17-3026.01,Nanotechnology Engineering Technologists and Technicians,17-3026.01,17-3029.12,17-3029,3119,Physical and engineering science technicians not elsewhere classified,3119,Not Exposed,0.26
17-3027.00,Mechanical Engineering Technologists and Technicians,17-3027.00,17-3027.00,17-3027,3115,Mechanical engineering technicians,3115,Not Exposed,0.26
17-3027.00,Mechanical Engineering Technologists and Technicians,17-3027.00,17-3029.07,17-3029,3115,Mechanical engineering technicians,3115,Not Exposed,0.26
17-3027.00,Mechanical Engineering Technologists and Technicians,17-3027.00,17-3029.07,17-3029,3116,Chemical engineering technicians,3116,Not Exposed,0.32
17-3027.00,Mechanical Engineering Technologists and Technicians,17-3027.00,17-3029.07,17-3029,3117,Mining and metallurgical technicians,3117,Not Exposed,0.28
17-3027.00,Mechanical Engineering Technologists and Technicians,17-3027.00,17-3029.07,17-3029,3119,Physical and engineering science technicians not elsewhere classified,3119,Not Exposed,0.26
17-3027.01,Automotive Engineering Technicians,17-3027.01,17-3027.01,17-3027,3115,Mechanical engineering technicians,3115,Not Exposed,0.26
17-3028.00,Calibration Technologists and Technicians,17-3028.00,17-3029.00,17-3029,3115,Mechanical engineering technicians,3115,Not Exposed,0.26
17-3028.00,Calibration Technologists and Technicians,17-3028.00,17-3029.00,17-3029,3116,Chemical engineering technicians,3116,Not Exposed,0.32
17-3028.00,Calibration Technologists and Technicians,17-3028.00,17-3029.00,17-3029,3117,Mining and metallurgical technicians,3117,Not Exposed,0.28
17-3028.00,Calibration Technologists and Technicians,17-3028.00,17-3029.00,17-3029,3119,Physical and engineering science technicians not elsewhere classified,3119,Not Exposed,0.26
17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other",17-3029.00,17-3029.00,17-3029,3115,Mechanical engineering technicians,3115,Not Exposed,0.26
17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other",17-3029.00,17-3029.00,17-3029,3116,Chemical engineering technicians,3116,Not Exposed,0.32
17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other",17-3029.00,17-3029.00,17-3029,3117,Mining and metallurgical technicians,3117,Not Exposed,0.28
17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other",17-3029.00,17-3029.00,17-3029,3119,Physical and engineering science technicians not elsewhere classified,3119,Not Exposed,0.26
17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other",17-3029.00,17-3029.10,17-3029,3115,Mechanical engineering technicians,3115,Not Exposed,0.26
17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other",17-3029.00,17-3029.10,17-3029,3116,Chemical engineering technicians,3116,Not Exposed,0.32
17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other",17-3029.00,17-3029.10,17-3029,3117,Mining and metallurgical technicians,3117,Not Exposed,0.28
17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other",17-3029.00,17-3029.10,17-3029,3119,Physical and engineering science technicians not elsewhere classified,3119,Not Exposed,0.26
17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other",17-3029.00,55-3017.00,55-3017,310,"Armed forces occupations, other ranks",,,
17-3029.01,Non-Destructive Testing Specialists,17-3029.01,17-3029.01,17-3029,3115,Mechanical engineering technicians,3115,Not Exposed,0.26
17-3029.01,Non-Destructive Testing Specialists,17-3029.01,17-3029.01,17-3029,3116,Chemical engineering technicians,3116,Not Exposed,0.32
17-3029.01,Non-Destructive Testing Specialists,17-3029.01,17-3029.01,17-3029,3117,Mining and metallurgical technicians,3117,Not Exposed,0.28
17-3029.01,Non-Destructive Testing Specialists,17-3029.01,17-3029.01,17-3029,3119,Physical and engineering science technicians not elsewhere classified,3119,Not Exposed,0.26
17-3029.08,Photonics Technicians,17-3029.08,17-3029.08,17-3029,3115,Mechanical engineering technicians,3115,Not Exposed,0.26
17-3029.08,Photonics Technicians,17-3029.08,17-3029.08,17-3029,3116,Chemical engineering technicians,3116,Not Exposed,0.32
17-3029.08,Photonics Technicians,17-3029.08,17-3029.08,17-3029,3117,Mining and metallurgical technicians,3117,Not Exposed,0.28
17-3029.08,Photonics Technicians,17-3029.08,17-3029.08,17-3029,3119,Physical and engineering science technicians not elsewhere classified,3119,Not Exposed,0.26
17-3031.00,Surveying and Mapping Technicians,17-3031.00,17-3031.00,17-3031,3112,Civil engineering technicians,3112,Not Exposed,0.28
17-3031.00,Surveying and Mapping Technicians,17-3031.00,17-3031.01,17-3031,3112,Civil engineering technicians,3112,Not Exposed,0.28
17-3031.00,Surveying and Mapping Technicians,17-3031.00,17-3031.02,17-3031,3112,Civil engineering technicians,3112,Not Exposed,0.28
19-1011.00,Animal Scientists,19-1011.00,19-1011.00,19-1011,2131,"Biologists, botanists, zoologists and related professionals",2131,Gradient 2,0.4
19-1012.00,Food Scientists and Technologists,19-1012.00,19-1012.00,19-1012,2131,"Biologists, botanists, zoologists and related professionals",2131,Gradient 2,0.4
19-1013.00,Soil and Plant Scientists,19-1013.00,19-1013.00,19-1013,2131,"Biologists, botanists, zoologists and related professionals",2131,Gradient 2,0.4
19-1013.00,Soil and Plant Scientists,19-1013.00,19-1013.00,19-1013,2132,"Farming, forestry and fisheries advisers",2132,Not Exposed,0.29
19-1021.00,Biochemists and Biophysicists,19-1021.00,19-1021.00,19-1021,2131,"Biologists, botanists, zoologists and related professionals",2131,Gradient 2,0.4
19-1022.00,Microbiologists,19-1022.00,19-1022.00,19-1022,2131,"Biologists, botanists, zoologists and related professionals",2131,Gradient 2,0.4
19-1023.00,Zoologists and Wildlife Biologists,19-1023.00,19-1023.00,19-1023,2131,"Biologists, botanists, zoologists and related professionals",2131,Gradient 2,0.4
19-1029.00,"Biological Scientists, All Other",19-1029.00,19-1029.00,19-1029,2131,"Biologists, botanists, zoologists and related professionals",2131,Gradient 2,0.4
19-1029.01,Bioinformatics Scientists,19-1029.01,19-1029.01,19-1029,2131,"Biologists, botanists, zoologists and related professionals",2131,Gradient 2,0.4
19-1029.02,Molecular and Cellular Biologists,19-1029.02,19-1029.02,19-1029,2131,"Biologists, botanists, zoologists and related professionals",2131,Gradient 2,0.4
19-1029.03,Geneticists,19-1029.03,19-1029.03,19-1029,2131,"Biologists, botanists, zoologists and related professionals",2131,Gradient 2,0.4
19-1029.04,Biologists,19-1029.04,19-1020.01,19-1020,nan,,,,
19-1031.00,Conservation Scientists,19-1031.00,19-1031.00,19-1031,2133,Environmental protection professionals,2133,Minimal Exposure,0.38
19-1031.00,Conservation Scientists,19-1031.00,19-1031.01,19-1031,2133,Environmental protection professionals,2133,Minimal Exposure,0.38
19-1031.02,Range Managers,19-1031.02,19-1031.02,19-1031,2133,Environmental protection professionals,2133,Minimal Exposure,0.38
19-1031.03,Park Naturalists,19-1031.03,19-1031.03,19-1031,2133,Environmental protection professionals,2133,Minimal Exposure,0.38
19-1032.00,Foresters,19-1032.00,19-1032.00,19-1032,2132,"Farming, forestry and fisheries advisers",2132,Not Exposed,0.29
19-1041.00,Epidemiologists,19-1041.00,19-1041.00,19-1041,2131,"Biologists, botanists, zoologists and related professionals",2131,Gradient 2,0.4
19-1042.00,"Medical Scientists, Except Epidemiologists",19-1042.00,19-1042.00,19-1042,2131,"Biologists, botanists, zoologists and related professionals",2131,Gradient 2,0.4
19-1099.00,"Life Scientists, All Other",19-1099.00,19-1099.00,19-1099,2131,"Biologists, botanists, zoologists and related professionals",2131,Gradient 2,0.4
19-2011.00,Astronomers,19-2011.00,19-2011.00,19-2011,2111,Physicists and astronomers,2111,Gradient 1,0.38
19-2012.00,Physicists,19-2012.00,19-2012.00,19-2012,2111,Physicists and astronomers,2111,Gradient 1,0.38
19-2021.00,Atmospheric and Space Scientists,19-2021.00,19-2021.00,19-2021,2112,Meteorologists,2112,Gradient 3,0.54
19-2031.00,Chemists,19-2031.00,19-2031.00,19-2031,2113,Chemists,2113,Minimal Exposure,0.39
19-2032.00,Materials Scientists,19-2032.00,19-2032.00,19-2032,2113,Chemists,2113,Minimal Exposure,0.39
19-2032.00,Materials Scientists,19-2032.00,19-2032.00,19-2032,2146,"Mining engineers, metallurgists and related professionals",2146,Not Exposed,0.29
19-2041.00,"Environmental Scientists and Specialists, Including Health",19-2041.00,19-2041.00,19-2041,2133,Environmental protection professionals,2133,Minimal Exposure,0.38
19-2041.01,Climate Change Policy Analysts,19-2041.01,19-2041.01,19-2041,2133,Environmental protection professionals,2133,Minimal Exposure,0.38
19-2041.02,Environmental Restoration Planners,19-2041.02,19-2041.02,19-2041,2133,Environmental protection professionals,2133,Minimal Exposure,0.38
19-2041.03,Industrial Ecologists,19-2041.03,19-2041.03,19-2041,2133,Environmental protection professionals,2133,Minimal Exposure,0.38
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",19-2042.00,19-2042.00,19-2042,2114,Geologists and geophysicists,2114,Minimal Exposure,0.36
19-2043.00,Hydrologists,19-2043.00,19-2043.00,19-2043,2114,Geologists and geophysicists,2114,Minimal Exposure,0.36
19-2099.00,"Physical Scientists, All Other",19-2099.00,19-2099.00,19-2099,211,Physical and earth science professionals,,,
19-2099.01,Remote Sensing Scientists and Technologists,19-2099.01,19-2099.01,19-2099,211,Physical and earth science professionals,,,
19-3011.00,Economists,19-3011.00,19-3011.00,19-3011,2631,Economists,2631,Gradient 3,0.55
19-3011.01,Environmental Economists,19-3011.01,19-3011.01,19-3011,2631,Economists,2631,Gradient 3,0.55
19-3022.00,Survey Researchers,19-3022.00,19-3022.00,19-3022,2120,"Mathematicians, actuaries and statisticians",2120,Gradient 3,0.56
19-3032.00,Industrial-Organizational Psychologists,19-3032.00,19-3032.00,19-3032,2634,Psychologists,2634,Gradient 1,0.39
19-3033.00,Clinical and Counseling Psychologists,19-3033.00,19-3031.00,19-3031,2634,Psychologists,2634,Gradient 1,0.39
19-3033.00,Clinical and Counseling Psychologists,19-3033.00,19-3031.02,19-3031,2634,Psychologists,2634,Gradient 1,0.39
19-3033.00,Clinical and Counseling Psychologists,19-3033.00,19-3031.03,19-3031,2634,Psychologists,2634,Gradient 1,0.39
19-3034.00,School Psychologists,19-3034.00,19-3031.01,19-3031,2634,Psychologists,2634,Gradient 1,0.39
19-3039.00,"Psychologists, All Other",19-3039.00,19-3039.00,19-3039,2634,Psychologists,2634,Gradient 1,0.39
19-3039.02,Neuropsychologists,19-3039.02,19-3039.01,19-3039,2634,Psychologists,2634,Gradient 1,0.39
