O*NET-SOC Code,Occupation,soc2019_code,soc2010_code,soc2010_6,isco08_code,isco08_title
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,17-3024.00,17-3029.03,17-3029,3115.0,Mechanical engineering technicians
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,17-3024.00,17-3029.03,17-3029,3116.0,Chemical engineering technicians
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,17-3024.00,17-3029.03,17-3029,3117.0,Mining and metallurgical technicians
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,17-3024.00,17-3029.03,17-3029,3119.0,Physical and engineering science technicians not elsewhere classified
17-3024.01,Robotics Technicians,17-3024.01,17-3024.01,17-3024,3113.0,Electrical engineering technicians
17-3024.01,Robotics Technicians,17-3024.01,17-3024.01,17-3024,3115.0,Mechanical engineering technicians
17-3025.00,Environmental Engineering Technologists and Technicians,17-3025.00,17-3025.00,17-3025,3119.0,Physical and engineering science technicians not elsewhere classified
17-3026.00,Industrial Engineering Technologists and Technicians,17-3026.00,17-3026.00,17-3026,3119.0,Physical and engineering science technicians not elsewhere classified
17-3026.00,Industrial Engineering Technologists and Technicians,17-3026.00,17-3029.05,17-3029,3115.0,Mechanical engineering technicians
17-3026.00,Industrial Engineering Technologists and Technicians,17-3026.00,17-3029.05,17-3029,3116.0,Chemical engineering technicians
17-3026.00,Industrial Engineering Technologists and Technicians,17-3026.00,17-3029.05,17-3029,3117.0,Mining and metallurgical technicians
17-3026.00,Industrial Engineering Technologists and Technicians,17-3026.00,17-3029.05,17-3029,3119.0,Physical and engineering science technicians not elsewhere classified
17-3026.00,Industrial Engineering Technologists and Technicians,17-3026.00,17-3029.06,17-3029,3115.0,Mechanical engineering technicians
17-3026.00,Industrial Engineering Technologists and Technicians,17-3026.00,17-3029.06,17-3029,3116.0,Chemical engineering technicians
17-3026.00,Industrial Engineering Technologists and Technicians,17-3026.00,17-3029.06,17-3029,3117.0,Mining and metallurgical technicians
17-3026.00,Industrial Engineering Technologists and Technicians,17-3026.00,17-3029.06,17-3029,3119.0,Physical and engineering science technicians not elsewhere classified
17-3026.00,Industrial Engineering Technologists and Technicians,17-3026.00,17-3029.09,17-3029,3115.0,Mechanical engineering technicians
17-3026.00,Industrial Engineering Technologists and Technicians,17-3026.00,17-3029.09,17-3029,3116.0,Chemical engineering technicians
17-3026.00,Industrial Engineering Technologists and Technicians,17-3026.00,17-3029.09,17-3029,3117.0,Mining and metallurgical technicians
17-3026.00,Industrial Engineering Technologists and Technicians,17-3026.00,17-3029.09,17-3029,3119.0,Physical and engineering science technicians not elsewhere classified
17-3026.01,Nanotechnology Engineering Technologists and Technicians,17-3026.01,17-3029.11,17-3029,3115.0,Mechanical engineering technicians
17-3026.01,Nanotechnology Engineering Technologists and Technicians,17-3026.01,17-3029.11,17-3029,3116.0,Chemical engineering technicians
17-3026.01,Nanotechnology Engineering Technologists and Technicians,17-3026.01,17-3029.11,17-3029,3117.0,Mining and metallurgical technicians
17-3026.01,Nanotechnology Engineering Technologists and Technicians,17-3026.01,17-3029.11,17-3029,3119.0,Physical and engineering science technicians not elsewhere classified
17-3026.01,Nanotechnology Engineering Technologists and Technicians,17-3026.01,17-3029.12,17-3029,3115.0,Mechanical engineering technicians
17-3026.01,Nanotechnology Engineering Technologists and Technicians,17-3026.01,17-3029.12,17-3029,3116.0,Chemical engineering technicians
17-3026.01,Nanotechnology Engineering Technologists and Technicians,17-3026.01,17-3029.12,17-3029,3117.0,Mining and metallurgical technicians
17-3026.01,Nanotechnology Engineering Technologists and Technicians,17-3026.01,17-3029.12,17-3029,3119.0,Physical and engineering science technicians not elsewhere classified
17-3027.00,Mechanical Engineering Technologists and Technicians,17-3027.00,17-3027.00,17-3027,3115.0,Mechanical engineering technicians
17-3027.00,Mechanical Engineering Technologists and Technicians,17-3027.00,17-3029.07,17-3029,3115.0,Mechanical engineering technicians
17-3027.00,Mechanical Engineering Technologists and Technicians,17-3027.00,17-3029.07,17-3029,3116.0,Chemical engineering technicians
17-3027.00,Mechanical Engineering Technologists and Technicians,17-3027.00,17-3029.07,17-3029,3117.0,Mining and metallurgical technicians
17-3027.00,Mechanical Engineering Technologists and Technicians,17-3027.00,17-3029.07,17-3029,3119.0,Physical and engineering science technicians not elsewhere classified
17-3027.01,Automotive Engineering Technicians,17-3027.01,17-3027.01,17-3027,3115.0,Mechanical engineering technicians
17-3028.00,Calibration Technologists and Technicians,17-3028.00,17-3029.00,17-3029,3115.0,Mechanical engineering technicians
17-3028.00,Calibration Technologists and Technicians,17-3028.00,17-3029.00,17-3029,3116.0,Chemical engineering technicians
17-3028.00,Calibration Technologists and Technicians,17-3028.00,17-3029.00,17-3029,3117.0,Mining and metallurgical technicians
17-3028.00,Calibration Technologists and Technicians,17-3028.00,17-3029.00,17-3029,3119.0,Physical and engineering science technicians not elsewhere classified
17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other",17-3029.00,17-3029.00,17-3029,3115.0,Mechanical engineering technicians
17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other",17-3029.00,17-3029.00,17-3029,3116.0,Chemical engineering technicians
17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other",17-3029.00,17-3029.00,17-3029,3117.0,Mining and metallurgical technicians
17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other",17-3029.00,17-3029.00,17-3029,3119.0,Physical and engineering science technicians not elsewhere classified
17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other",17-3029.00,17-3029.10,17-3029,3115.0,Mechanical engineering technicians
17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other",17-3029.00,17-3029.10,17-3029,3116.0,Chemical engineering technicians
17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other",17-3029.00,17-3029.10,17-3029,3117.0,Mining and metallurgical technicians
17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other",17-3029.00,17-3029.10,17-3029,3119.0,Physical and engineering science technicians not elsewhere classified
17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other",17-3029.00,55-3017.00,55-3017,310.0,"Armed forces occupations, other ranks"
17-3029.01,Non-Destructive Testing Specialists,17-3029.01,17-3029.01,17-3029,3115.0,Mechanical engineering technicians
17-3029.01,Non-Destructive Testing Specialists,17-3029.01,17-3029.01,17-3029,3116.0,Chemical engineering technicians
17-3029.01,Non-Destructive Testing Specialists,17-3029.01,17-3029.01,17-3029,3117.0,Mining and metallurgical technicians
17-3029.01,Non-Destructive Testing Specialists,17-3029.01,17-3029.01,17-3029,3119.0,Physical and engineering science technicians not elsewhere classified
17-3029.08,Photonics Technicians,17-3029.08,17-3029.08,17-3029,3115.0,Mechanical engineering technicians
17-3029.08,Photonics Technicians,17-3029.08,17-3029.08,17-3029,3116.0,Chemical engineering technicians
17-3029.08,Photonics Technicians,17-3029.08,17-3029.08,17-3029,3117.0,Mining and metallurgical technicians
17-3029.08,Photonics Technicians,17-3029.08,17-3029.08,17-3029,3119.0,Physical and engineering science technicians not elsewhere classified
17-3031.00,Surveying and Mapping Technicians,17-3031.00,17-3031.00,17-3031,3112.0,Civil engineering technicians
17-3031.00,Surveying and Mapping Technicians,17-3031.00,17-3031.01,17-3031,3112.0,Civil engineering technicians
17-3031.00,Surveying and Mapping Technicians,17-3031.00,17-3031.02,17-3031,3112.0,Civil engineering technicians
19-1011.00,Animal Scientists,19-1011.00,19-1011.00,19-1011,2131.0,"Biologists, botanists, zoologists and related professionals"
19-1012.00,Food Scientists and Technologists,19-1012.00,19-1012.00,19-1012,2131.0,"Biologists, botanists, zoologists and related professionals"
19-1013.00,Soil and Plant Scientists,19-1013.00,19-1013.00,19-1013,2131.0,"Biologists, botanists, zoologists and related professionals"
19-1013.00,Soil and Plant Scientists,19-1013.00,19-1013.00,19-1013,2132.0,"Farming, forestry and fisheries advisers"
19-1021.00,Biochemists and Biophysicists,19-1021.00,19-1021.00,19-1021,2131.0,"Biologists, botanists, zoologists and related professionals"
19-1022.00,Microbiologists,19-1022.00,19-1022.00,19-1022,2131.0,"Biologists, botanists, zoologists and related professionals"
19-1023.00,Zoologists and Wildlife Biologists,19-1023.00,19-1023.00,19-1023,2131.0,"Biologists, botanists, zoologists and related professionals"
19-1029.00,"Biological Scientists, All Other",19-1029.00,19-1029.00,19-1029,2131.0,"Biologists, botanists, zoologists and related professionals"
19-1029.01,Bioinformatics Scientists,19-1029.01,19-1029.01,19-1029,2131.0,"Biologists, botanists, zoologists and related professionals"
19-1029.02,Molecular and Cellular Biologists,19-1029.02,19-1029.02,19-1029,2131.0,"Biologists, botanists, zoologists and related professionals"
19-1029.03,Geneticists,19-1029.03,19-1029.03,19-1029,2131.0,"Biologists, botanists, zoologists and related professionals"
19-1029.04,Biologists,19-1029.04,19-1020.01,19-1020,,
19-1031.00,Conservation Scientists,19-1031.00,19-1031.00,19-1031,2133.0,Environmental protection professionals
19-1031.00,Conservation Scientists,19-1031.00,19-1031.01,19-1031,2133.0,Environmental protection professionals
19-1031.02,Range Managers,19-1031.02,19-1031.02,19-1031,2133.0,Environmental protection professionals
19-1031.03,Park Naturalists,19-1031.03,19-1031.03,19-1031,2133.0,Environmental protection professionals
19-1032.00,Foresters,19-1032.00,19-1032.00,19-1032,2132.0,"Farming, forestry and fisheries advisers"
19-1041.00,Epidemiologists,19-1041.00,19-1041.00,19-1041,2131.0,"Biologists, botanists, zoologists and related professionals"
19-1042.00,"Medical Scientists, Except Epidemiologists",19-1042.00,19-1042.00,19-1042,2131.0,"Biologists, botanists, zoologists and related professionals"
19-1099.00,"Life Scientists, All Other",19-1099.00,19-1099.00,19-1099,2131.0,"Biologists, botanists, zoologists and related professionals"
19-2011.00,Astronomers,19-2011.00,19-2011.00,19-2011,2111.0,Physicists and astronomers
19-2012.00,Physicists,19-2012.00,19-2012.00,19-2012,2111.0,Physicists and astronomers
19-2021.00,Atmospheric and Space Scientists,19-2021.00,19-2021.00,19-2021,2112.0,Meteorologists
19-2031.00,Chemists,19-2031.00,19-2031.00,19-2031,2113.0,Chemists
19-2032.00,Materials Scientists,19-2032.00,19-2032.00,19-2032,2113.0,Chemists
19-2032.00,Materials Scientists,19-2032.00,19-2032.00,19-2032,2146.0,"Mining engineers, metallurgists and related professionals"
19-2041.00,"Environmental Scientists and Specialists, Including Health",19-2041.00,19-2041.00,19-2041,2133.0,Environmental protection professionals
19-2041.01,Climate Change Policy Analysts,19-2041.01,19-2041.01,19-2041,2133.0,Environmental protection professionals
19-2041.02,Environmental Restoration Planners,19-2041.02,19-2041.02,19-2041,2133.0,Environmental protection professionals
19-2041.03,Industrial Ecologists,19-2041.03,19-2041.03,19-2041,2133.0,Environmental protection professionals
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",19-2042.00,19-2042.00,19-2042,2114.0,Geologists and geophysicists
19-2043.00,Hydrologists,19-2043.00,19-2043.00,19-2043,2114.0,Geologists and geophysicists
19-2099.00,"Physical Scientists, All Other",19-2099.00,19-2099.00,19-2099,211.0,Physical and earth science professionals
19-2099.01,Remote Sensing Scientists and Technologists,19-2099.01,19-2099.01,19-2099,211.0,Physical and earth science professionals
19-3011.00,Economists,19-3011.00,19-3011.00,19-3011,2631.0,Economists
19-3011.01,Environmental Economists,19-3011.01,19-3011.01,19-3011,2631.0,Economists
19-3022.00,Survey Researchers,19-3022.00,19-3022.00,19-3022,2120.0,"Mathematicians, actuaries and statisticians"
19-3032.00,Industrial-Organizational Psychologists,19-3032.00,19-3032.00,19-3032,2634.0,Psychologists
19-3033.00,Clinical and Counseling Psychologists,19-3033.00,19-3031.00,19-3031,2634.0,Psychologists
19-3033.00,Clinical and Counseling Psychologists,19-3033.00,19-3031.02,19-3031,2634.0,Psychologists
19-3033.00,Clinical and Counseling Psychologists,19-3033.00,19-3031.03,19-3031,2634.0,Psychologists
19-3034.00,School Psychologists,19-3034.00,19-3031.01,19-3031,2634.0,Psychologists
19-3039.00,"Psychologists, All Other",19-3039.00,19-3039.00,19-3039,2634.0,Psychologists
19-3039.02,Neuropsychologists,19-3039.02,19-3039.01,19-3039,2634.0,Psychologists
19-3039.03,Clinical Neuropsychologists,19-3039.03,19-3039.01,19-3039,2634.0,Psychologists
19-3041.00,Sociologists,19-3041.00,19-3041.00,19-3041,2632.0,"Sociologists, anthropologists and related professionals"
19-3051.00,Urban and Regional Planners,19-3051.00,19-3051.00,19-3051,2164.0,Town and traffic planners
19-3051.00,Urban and Regional Planners,19-3051.00,19-4061.01,19-4061,3314.0,"Statistical, mathematical and related associate professionals"
19-3091.00,Anthropologists and Archeologists,19-3091.00,19-3091.00,19-3091,2632.0,"Sociologists, anthropologists and related professionals"
19-3091.00,Anthropologists and Archeologists,19-3091.00,19-3091.01,19-3091,2632.0,"Sociologists, anthropologists and related professionals"
19-3091.00,Anthropologists and Archeologists,19-3091.00,19-3091.02,19-3091,2632.0,"Sociologists, anthropologists and related professionals"
19-3092.00,Geographers,19-3092.00,19-3092.00,19-3092,2632.0,"Sociologists, anthropologists and related professionals"
19-3093.00,Historians,19-3093.00,19-3093.00,19-3093,2633.0,"Philosophers, historians and political scientists"
19-3094.00,Political Scientists,19-3094.00,19-3094.00,19-3094,2633.0,"Philosophers, historians and political scientists"
19-3099.00,"Social Scientists and Related Workers, All Other",19-3099.00,19-3099.00,19-3099,2633.0,"Philosophers, historians and political scientists"
19-3099.00,"Social Scientists and Related Workers, All Other",19-3099.00,19-3099.00,19-3099,2643.0,"Translators, interpreters and other linguists"
19-3099.01,Transportation Planners,19-3099.01,19-3099.01,19-3099,2633.0,"Philosophers, historians and political scientists"
19-3099.01,Transportation Planners,19-3099.01,19-3099.01,19-3099,2643.0,"Translators, interpreters and other linguists"
19-4012.00,Agricultural Technicians,19-4012.00,19-4011.00,19-4011,3142.0,Agricultural technicians
19-4012.00,Agricultural Technicians,19-4012.00,19-4011.01,19-4011,3142.0,Agricultural technicians
19-4012.01,Precision Agriculture Technicians,19-4012.01,19-4099.02,19-4099,3111.0,Chemical and physical science technicians
19-4012.01,Precision Agriculture Technicians,19-4012.01,19-4099.02,19-4099,3119.0,Physical and engineering science technicians not elsewhere classified
19-4013.00,Food Science Technicians,19-4013.00,19-4011.00,19-4011,3142.0,Agricultural technicians
19-4013.00,Food Science Technicians,19-4013.00,19-4011.02,19-4011,3142.0,Agricultural technicians
19-4021.00,Biological Technicians,19-4021.00,19-4021.00,19-4021,3141.0,Life science technicians (excluding medical)
19-4031.00,Chemical Technicians,19-4031.00,19-4031.00,19-4031,3111.0,Chemical and physical science technicians
19-4042.00,"Environmental Science and Protection Technicians, Including Health",19-4042.00,19-4091.00,19-4091,3141.0,Life science technicians (excluding medical)
19-4043.00,"Geological Technicians, Except Hydrologic Technicians",19-4043.00,19-4041.00,19-4041,3111.0,Chemical and physical science technicians
19-4043.00,"Geological Technicians, Except Hydrologic Technicians",19-4043.00,19-4041.00,19-4041,3117.0,Mining and metallurgical technicians
19-4043.00,"Geological Technicians, Except Hydrologic Technicians",19-4043.00,19-4041.01,19-4041,3111.0,Chemical and physical science technicians
19-4043.00,"Geological Technicians, Except Hydrologic Technicians",19-4043.00,19-4041.01,19-4041,3117.0,Mining and metallurgical technicians
19-4043.00,"Geological Technicians, Except Hydrologic Technicians",19-4043.00,19-4041.02,19-4041,3111.0,Chemical and physical science technicians
19-4043.00,"Geological Technicians, Except Hydrologic Technicians",19-4043.00,19-4041.02,19-4041,3117.0,Mining and metallurgical technicians
19-4044.00,Hydrologic Technicians,19-4044.00,19-4041.00,19-4041,3111.0,Chemical and physical science technicians
19-4044.00,Hydrologic Technicians,19-4044.00,19-4041.00,19-4041,3117.0,Mining and metallurgical technicians
19-4044.00,Hydrologic Technicians,19-4044.00,19-4099.00,19-4099,3111.0,Chemical and physical science technicians
19-4044.00,Hydrologic Technicians,19-4044.00,19-4099.00,19-4099,3119.0,Physical and engineering science technicians not elsewhere classified
19-4051.00,Nuclear Technicians,19-4051.00,19-4051.00,19-4051,3119.0,Physical and engineering science technicians not elsewhere classified
19-4051.00,Nuclear Technicians,19-4051.00,19-4051.01,19-4051,3119.0,Physical and engineering science technicians not elsewhere classified
19-4051.02,Nuclear Monitoring Technicians,19-4051.02,19-4051.02,19-4051,3119.0,Physical and engineering science technicians not elsewhere classified
19-4061.00,Social Science Research Assistants,19-4061.00,19-4061.00,19-4061,3314.0,"Statistical, mathematical and related associate professionals"
19-4071.00,Forest and Conservation Technicians,19-4071.00,19-4093.00,19-4093,3143.0,Forestry technicians
19-4092.00,Forensic Science Technicians,19-4092.00,19-4092.00,19-4092,3119.0,Physical and engineering science technicians not elsewhere classified
19-4099.00,"Life, Physical, and Social Science Technicians, All Other",19-4099.00,19-4099.00,19-4099,3111.0,Chemical and physical science technicians
19-4099.00,"Life, Physical, and Social Science Technicians, All Other",19-4099.00,19-4099.00,19-4099,3119.0,Physical and engineering science technicians not elsewhere classified
19-4099.01,Quality Control Analysts,19-4099.01,19-4099.01,19-4099,3111.0,Chemical and physical science technicians
19-4099.01,Quality Control Analysts,19-4099.01,19-4099.01,19-4099,3119.0,Physical and engineering science technicians not elsewhere classified
19-4099.03,Remote Sensing Technicians,19-4099.03,19-4099.03,19-4099,3111.0,Chemical and physical science technicians
19-4099.03,Remote Sensing Technicians,19-4099.03,19-4099.03,19-4099,3119.0,Physical and engineering science technicians not elsewhere classified
19-5011.00,Occupational Health and Safety Specialists,19-5011.00,29-9011.00,29-9011,2263.0,Environmental and occupational health and hygiene professionals
19-5012.00,Occupational Health and Safety Technicians,19-5012.00,29-9012.00,29-9012,3257.0,Environmental and occupational health inspectors and associates
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,21-1011.00,21-1011.00,21-1011,2635.0,Social work and counselling professionals
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",21-1012.00,21-1012.00,21-1012,2359.0,Teaching professionals not elsewhere classified
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",21-1012.00,21-1012.00,21-1012,2423.0,Personnel and careers professionals
21-1013.00,Marriage and Family Therapists,21-1013.00,21-1013.00,21-1013,2635.0,Social work and counselling professionals
21-1014.00,Mental Health Counselors,21-1014.00,21-1014.00,21-1014,2635.0,Social work and counselling professionals
21-1015.00,Rehabilitation Counselors,21-1015.00,21-1015.00,21-1015,2635.0,Social work and counselling professionals
21-1019.00,"Counselors, All Other",21-1019.00,21-1019.00,21-1019,2635.0,Social work and counselling professionals
21-1021.00,"Child, Family, and School Social Workers",21-1021.00,21-1021.00,21-1021,2635.0,Social work and counselling professionals
21-1022.00,Healthcare Social Workers,21-1022.00,21-1022.00,21-1022,2635.0,Social work and counselling professionals
21-1023.00,Mental Health and Substance Abuse Social Workers,21-1023.00,21-1023.00,21-1023,2635.0,Social work and counselling professionals
21-1029.00,"Social Workers, All Other",21-1029.00,21-1029.00,21-1029,2635.0,Social work and counselling professionals
21-1091.00,Health Education Specialists,21-1091.00,21-1091.00,21-1091,2263.0,Environmental and occupational health and hygiene professionals
21-1092.00,Probation Officers and Correctional Treatment Specialists,21-1092.00,21-1092.00,21-1092,2635.0,Social work and counselling professionals
21-1093.00,Social and Human Service Assistants,21-1093.00,21-1093.00,21-1093,3412.0,Social work associate professionals
21-1094.00,Community Health Workers,21-1094.00,21-1094.00,21-1094,3253.0,Community health workers
21-1099.00,"Community and Social Service Specialists, All Other",21-1099.00,21-1099.00,21-1099,2635.0,Social work and counselling professionals
21-2011.00,Clergy,21-2011.00,21-2011.00,21-2011,2636.0,Religious professionals
21-2021.00,"Directors, Religious Activities and Education",21-2021.00,21-2021.00,21-2021,2636.0,Religious professionals
21-2099.00,"Religious Workers, All Other",21-2099.00,21-2099.00,21-2099,3413.0,Religious associate professionals
23-1011.00,Lawyers,23-1011.00,23-1011.00,23-1011,2611.0,Lawyers
23-1012.00,Judicial Law Clerks,23-1012.00,23-1012.00,23-1012,3411.0,Legal and related associate professionals
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",23-1021.00,23-1021.00,23-1021,2612.0,Judges
23-1022.00,"Arbitrators, Mediators, and Conciliators",23-1022.00,23-1022.00,23-1022,2619.0,Legal professionals not elsewhere classified
23-1023.00,"Judges, Magistrate Judges, and Magistrates",23-1023.00,23-1023.00,23-1023,2612.0,Judges
23-2011.00,Paralegals and Legal Assistants,23-2011.00,23-2011.00,23-2011,3411.0,Legal and related associate professionals
23-2093.00,"Title Examiners, Abstractors, and Searchers",23-2093.00,23-2093.00,23-2093,3411.0,Legal and related associate professionals
23-2099.00,"Legal Support Workers, All Other",23-2099.00,23-2099.00,23-2099,3411.0,Legal and related associate professionals
25-1011.00,"Business Teachers, Postsecondary",25-1011.00,25-1011.00,25-1011,2310.0,University and higher education teachers
25-1021.00,"Computer Science Teachers, Postsecondary",25-1021.00,25-1021.00,25-1021,2310.0,University and higher education teachers
25-1022.00,"Mathematical Science Teachers, Postsecondary",25-1022.00,25-1022.00,25-1022,2310.0,University and higher education teachers
25-1031.00,"Architecture Teachers, Postsecondary",25-1031.00,25-1031.00,25-1031,2310.0,University and higher education teachers
25-1032.00,"Engineering Teachers, Postsecondary",25-1032.00,25-1032.00,25-1032,2310.0,University and higher education teachers
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",25-1041.00,25-1041.00,25-1041,2310.0,University and higher education teachers
25-1042.00,"Biological Science Teachers, Postsecondary",25-1042.00,25-1042.00,25-1042,2310.0,University and higher education teachers
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",25-1043.00,25-1043.00,25-1043,2310.0,University and higher education teachers
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",25-1051.00,25-1051.00,25-1051,2310.0,University and higher education teachers
25-1052.00,"Chemistry Teachers, Postsecondary",25-1052.00,25-1052.00,25-1052,2310.0,University and higher education teachers
25-1053.00,"Environmental Science Teachers, Postsecondary",25-1053.00,25-1053.00,25-1053,2310.0,University and higher education teachers
25-1054.00,"Physics Teachers, Postsecondary",25-1054.00,25-1054.00,25-1054,2310.0,University and higher education teachers
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",25-1061.00,25-1061.00,25-1061,2310.0,University and higher education teachers
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",25-1062.00,25-1062.00,25-1062,2310.0,University and higher education teachers
25-1063.00,"Economics Teachers, Postsecondary",25-1063.00,25-1063.00,25-1063,2310.0,University and higher education teachers
25-1064.00,"Geography Teachers, Postsecondary",25-1064.00,25-1064.00,25-1064,2310.0,University and higher education teachers
25-1065.00,"Political Science Teachers, Postsecondary",25-1065.00,25-1065.00,25-1065,2310.0,University and higher education teachers
25-1066.00,"Psychology Teachers, Postsecondary",25-1066.00,25-1066.00,25-1066,2310.0,University and higher education teachers
25-1067.00,"Sociology Teachers, Postsecondary",25-1067.00,25-1067.00,25-1067,2310.0,University and higher education teachers
25-1069.00,"Social Sciences Teachers, Postsecondary, All Other",25-1069.00,25-1069.00,25-1069,2310.0,University and higher education teachers
25-1071.00,"Health Specialties Teachers, Postsecondary",25-1071.00,25-1071.00,25-1071,2310.0,University and higher education teachers
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",25-1072.00,25-1072.00,25-1072,2310.0,University and higher education teachers
25-1081.00,"Education Teachers, Postsecondary",25-1081.00,25-1081.00,25-1081,2310.0,University and higher education teachers
25-1082.00,"Library Science Teachers, Postsecondary",25-1082.00,25-1082.00,25-1082,2310.0,University and higher education teachers
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",25-1111.00,25-1111.00,25-1111,2310.0,University and higher education teachers
25-1112.00,"Law Teachers, Postsecondary",25-1112.00,25-1112.00,25-1112,2310.0,University and higher education teachers
25-1113.00,"Social Work Teachers, Postsecondary",25-1113.00,25-1113.00,25-1113,2310.0,University and higher education teachers
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",25-1121.00,25-1121.00,25-1121,2310.0,University and higher education teachers
25-1122.00,"Communications Teachers, Postsecondary",25-1122.00,25-1122.00,25-1122,2310.0,University and higher education teachers
25-1123.00,"English Language and Literature Teachers, Postsecondary",25-1123.00,25-1123.00,25-1123,2310.0,University and higher education teachers
25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",25-1124.00,25-1124.00,25-1124,2310.0,University and higher education teachers
25-1125.00,"History Teachers, Postsecondary",25-1125.00,25-1125.00,25-1125,2310.0,University and higher education teachers
25-1126.00,"Philosophy and Religion Teachers, Postsecondary",25-1126.00,25-1126.00,25-1126,2310.0,University and higher education teachers
25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",25-1192.00,25-1192.00,25-1192,2310.0,University and higher education teachers
25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",25-1193.00,25-1193.00,25-1193,2310.0,University and higher education teachers
25-1194.00,"Career/Technical Education Teachers, Postsecondary",25-1194.00,25-1194.00,25-1194,2320.0,Vocational education teachers
25-1199.00,"Postsecondary Teachers, All Other",25-1199.00,25-1199.00,25-1199,2310.0,University and higher education teachers
25-2011.00,"Preschool Teachers, Except Special Education",25-2011.00,25-2011.00,25-2011,2342.0,Early childhood educators
25-2012.00,"Kindergarten Teachers, Except Special Education",25-2012.00,25-2012.00,25-2012,2342.0,Early childhood educators
25-2021.00,"Elementary School Teachers, Except Special Education",25-2021.00,25-2021.00,25-2021,2341.0,Primary school teachers
25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",25-2022.00,25-2022.00,25-2022,2341.0,Primary school teachers
25-2023.00,"Career/Technical Education Teachers, Middle School",25-2023.00,25-2023.00,25-2023,2320.0,Vocational education teachers
25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",25-2031.00,25-2031.00,25-2031,2330.0,Secondary education teachers
25-2032.00,"Career/Technical Education Teachers, Secondary School",25-2032.00,25-2032.00,25-2032,2320.0,Vocational education teachers
25-2051.00,"Special Education Teachers, Preschool",25-2051.00,25-2051.00,25-2051,2352.0,Special needs teachers
25-2055.00,"Special Education Teachers, Kindergarten",25-2055.00,25-2052.00,25-2052,2352.0,Special needs teachers
25-2056.00,"Special Education Teachers, Elementary School",25-2056.00,25-2052.00,25-2052,2352.0,Special needs teachers
25-2057.00,"Special Education Teachers, Middle School",25-2057.00,25-2053.00,25-2053,2352.0,Special needs teachers
25-2058.00,"Special Education Teachers, Secondary School",25-2058.00,25-2054.00,25-2054,2352.0,Special needs teachers
25-2059.00,"Special Education Teachers, All Other",25-2059.00,25-2059.00,25-2059,2352.0,Special needs teachers
25-2059.01,Adapted Physical Education Specialists,25-2059.01,25-2059.01,25-2059,2352.0,Special needs teachers
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",25-3011.00,25-3011.00,25-3011,2353.0,Other language teachers
25-3021.00,Self-Enrichment Teachers,25-3021.00,25-3021.00,25-3021,2353.0,Other language teachers
25-3021.00,Self-Enrichment Teachers,25-3021.00,25-3021.00,25-3021,2354.0,Other music teachers
25-3021.00,Self-Enrichment Teachers,25-3021.00,25-3021.00,25-3021,2355.0,Other arts teachers
25-3021.00,Self-Enrichment Teachers,25-3021.00,25-3021.00,25-3021,3422.0,"Sports coaches, instructors and officials"
25-3021.00,Self-Enrichment Teachers,25-3021.00,25-3021.00,25-3021,3423.0,Fitness and recreation instructors and program leaders
25-3021.00,Self-Enrichment Teachers,25-3021.00,25-3021.00,25-3021,5165.0,Driving instructors
25-3031.00,"Substitute Teachers, Short-Term",25-3031.00,25-3099.00,25-3099,2359.0,Teaching professionals not elsewhere classified
25-3031.00,"Substitute Teachers, Short-Term",25-3031.00,25-3099.00,25-3099,2353.0,Other language teachers
25-3031.00,"Substitute Teachers, Short-Term",25-3031.00,25-3099.00,25-3099,2355.0,Other arts teachers
