O*NET-SOC Code,Occupation,Summary,Final_ExposureScore
17-2131.00,Materials Engineers,"These professionals analyze data from product failures and laboratory tests to identify problems and devise solutions. They design and oversee the testing of processing procedures and monitor material performance, assessing any deterioration. Their work involves evaluating technical and economic factors related to design objectives, and determining suitable methods for fabricating and joining materials. They guide technical staff in developing materials for specific applications and make recommendations for material selection based on criteria like strength, weight, and cost. These individuals also supervise production and testing processes, plan laboratory operations, and manage resources by preparing budgets and analyzing costs. Additionally, they may present technical information and write for publications.",0.295
17-2141.00,Mechanical Engineers,"Professionals in this field conceptualize and develop functional components, systems, and equipment. They meticulously review technical documents, blueprints, and schematics to ensure designs meet specific performance and regulatory standards. Responsibilities include conducting research to test and analyze the feasibility and operation of various designs, and collaborating with colleagues to implement operational procedures. They troubleshoot malfunctions, investigate equipment failures, and recommend design modifications to resolve issues. These individuals also oversee the installation, operation, and maintenance of systems, ensuring they perform according to specifications. They communicate technical information, provide feedback on customer needs, and contribute to the development of performance requirements for projects.",0.32
17-2141.01,Fuel Cell Engineers,"Individuals in this role focus on the design, evaluation, and construction of systems and their components. They plan and conduct experiments to assess new materials, optimize operational protocols, and evaluate durability. They analyze test data, using various instruments and techniques, to characterize performance and identify areas for refinement. These professionals develop and fabricate prototypes, and define specifications for materials and system designs. They also collaborate with others to implement cost reduction or product improvement projects, and provide technical consultation. Staying current with technological advancements through research and interaction with peers is crucial for recommending and implementing design changes. They prepare test stations, analyze results, and write technical reports and proposals.",0.32
17-2141.02,Automotive Engineers,"Professionals in this role analyze complex systems and solve problems by developing and improving designs for various components and systems. They create design alternatives to enhance performance and efficiency, often utilizing advanced computer-aided design technology. These individuals direct the modification and testing of designs, ensuring they meet stringent standards. They conduct research to explore new concepts and technologies, and prepare detailed technical documentation and reports. Collaboration is key as they coordinate with various teams to establish quality control and production standards. They also stay current with advancements in the field by reading literature and attending professional gatherings to integrate the latest innovations into their work.",0.32
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers","Professionals in this field analyze geological data from surveys to identify characteristics of development sites. They determine optimal methods for resource extraction, considering safety, cost-effectiveness, and environmental impact. Responsibilities include planning operations, specifying necessary processes, labor, and equipment for efficient and safe extraction. They also design and implement systems, monitor production rates, and assess operational effectiveness. A key aspect involves inspecting sites for potential hazards, unsafe conditions, or equipment issues, and developing mitigation strategies. These professionals prepare detailed reports, cost estimates, and schedules for management and technical teams, ensuring projects adhere to safety and operational standards.",0.29
17-2161.00,Nuclear Engineers,"Professionals in this field conduct research and apply scientific principles to address challenges related to the control and use of nuclear energy and waste disposal. They design, develop, and oversee the construction and operation of nuclear equipment, reactors, and related systems, ensuring efficiency and adherence to safety standards. Daily activities involve monitoring operations to identify and rectify potential safety violations, preparing technical reports, and recommending preventive measures. They also conduct experiments, analyze test results, and develop models for nuclear fuel cycles and waste management. These professionals consult with other scientists, prepare environmental impact statements, and stay current with advancements in the nuclear field through independent study and reading technical literature.",0.3
17-2171.00,Petroleum Engineers,"Professionals in this field analyze data to optimize the extraction and production of resources. They devise methods to enhance recovery, plan drilling operations, and oversee well completion and evaluation. Key responsibilities include monitoring production rates, analyzing test results, and recommending strategies for improvement. They assess the economic viability of extraction sites and develop plans for field operations, product recovery, and treatment. These individuals also troubleshoot and solve operating issues, often by conferring with technical and scientific teams. They maintain detailed records of operations and prepare technical reports to communicate findings and recommendations to management. They may also coordinate the activities of research and development personnel and evaluate designs for equipment and processes.",0.29
17-2199.03,"Energy Engineers, Except Wind and Solar","Professionals in this field analyze energy consumption to identify opportunities for conservation and cost reduction. They conduct audits, monitor systems like HVAC and lighting, and collect data through site observations and inspections. These individuals review plans and specifications to assess energy efficiency, perform energy modeling, and verify energy bills. They advise clients and colleagues on climate control, sustainable design, and energy auditing, often preparing reports and documentation. They also manage projects, ensuring they meet budget, timeline, and regulatory requirements, and may negotiate energy purchase agreements. Additionally, they research and promote alternative energy technologies, and train others on energy management practices.",0.3
17-2199.05,Mechatronics Engineers,"Professionals in this field engage in researching, designing, and developing advanced systems. They create mechanical design documents and conceptualize precision equipment for specific applications, focusing on automation and control. These experts identify suitable materials and select appropriate components, such as sensors and control devices, to integrate into sophisticated systems. They often test and implement their design solutions, meticulously documenting all steps and results in technical files and reports. They may also consult or train others on these advanced technological topics, contributing to the continuous improvement and innovation of automated processes and equipment by analyzing existing procedures and proposing enhancements.",0.3
17-2199.06,Microsystems Engineers,"Professionals in this field focus on the creation and refinement of intricate, miniaturized systems. Their daily activities involve designing and developing these systems, often by first generating detailed schematics and physical layouts. They rigorously investigate potential designs, assessing factors like cost and performance through advanced simulation software. Key responsibilities include conducting thorough analyses to identify and resolve issues related to failures, reliability, or production yield. These individuals also meticulously document their work, preparing formal specifications, quality control protocols, and project plans. They communicate crucial operating characteristics and performance data to colleagues, contributing to ongoing training and the development of new products based on market needs and customer requirements.",0.3
17-2199.07,Photonics Engineers,"Professionals in this field design and develop technologies that manage light for information or energy. They analyze system requirements and conceptualize new applications. A significant portion of their work involves creating and testing prototypes, and evaluating their performance to ensure they meet design specifications. This often includes fabricating and testing components, and documenting the entire design process, including objectives, challenges, and results. They also research emerging technologies, read scientific literature, and collaborate with peers to stay current. Some individuals may also train others or provide guidance during the transition of designs into larger-scale production, ensuring manufacturability and optimal outcomes.",0.3
17-2199.08,Robotics Engineers,"Professionals in this field engage in the research, design, development, and testing of robotic systems. They analyze complex problems, create and debug software, and build or configure robotic applications. Their work involves designing components, systems, and specialized tooling, and integrating these with other equipment. They conduct research to innovate and improve robotic capabilities, evaluate prototypes, and document their work. Furthermore, they may supervise technical staff, provide support for robotic systems, and ensure the proper operation and maintenance of equipment. This role requires critical thinking, strong analytical skills, and the ability to make informed decisions throughout the development and implementation process.",0.3
17-2199.09,Nanosystems Engineers,"Individuals in this role conduct research into a variety of topics, often involving the synthesis, processing, or characterization of nanoscale materials. They design and develop innovative systems, devices, and materials at the molecular level, often using specialized design software and advanced techniques. This involves creating prototypes and conducting rigorous testing to assess performance and safety. They also engineer production processes for manufacturing at this scale and provide technical guidance to teams, customers, or collaborators. Communicating findings through reports and presentations, and writing proposals for funding or partnerships, are key responsibilities. Supervision of technical staff and coordination with external suppliers are also common duties.",0.3
17-2199.10,Wind Energy Engineers,"Professionals in this role design and develop system layouts, focusing on the placement and configuration of components. They create detailed visual documentation, such as schematics, to represent these designs. A significant part of their work involves developing models to optimize the arrangement of various infrastructure elements. They analyze existing operations and recommend improvements to enhance performance, reduce expenses, or ensure adherence to standards. This includes evaluating processes and making decisions on necessary changes to systems and infrastructure. They also prepare and refine site specifications, ensuring all aspects of the design are thoroughly documented and viable for implementation.",0.3
17-2199.11,Solar Energy Systems Engineers,"Individuals in this role assess sites to gather information needed for designing solar power systems, focusing on structural and electrical aspects. They develop detailed plans for the creation and ongoing monitoring of these systems. Their work involves designing, or overseeing the design of, solar thermal or photovoltaic systems, specifying components for various building types. They also offer technical guidance to installation crews during setup, testing, and performance checks. Additionally, they simulate system performance to maximize efficiency, analyze thermal and cost factors, and create specifications for new systems. They establish operational procedures and quality standards for installation work and develop inspection checklists for completed projects.",0.3
17-3011.00,Architectural and Civil Drafters,"Individuals in this role prepare detailed technical drawings and plans for structures and engineering projects, utilizing their knowledge of materials, engineering principles, and mathematics. They interpret sketches, notes, and survey data to create precise representations of buildings, topographical features, and civil infrastructure. This involves coordinating various design elements, analyzing technical documents and site requirements, and ensuring adherence to specifications. They determine appropriate drawing methods and often use specialized software and devices to produce finished blueprints and documentation. They also review and adjust drawings as needed, providing explanations to teams and verifying material specifications and quantities to support the construction and implementation processes.",0.3499999999999999
17-3012.00,Electrical and Electronics Drafters,"These professionals create detailed technical drawings and diagrams for electrical equipment. They interpret design concepts from engineers, translating them into precise visual specifications for manufacturing, installation, or repair. Responsibilities include preparing wiring diagrams, circuit board layouts, and assembly drawings using specialized software or traditional drafting methods. They measure and calculate dimensions, tolerances, and configurations, ensuring accuracy and adherence to standards. These individuals collaborate with engineers and other personnel to resolve design challenges, review completed drawings for conformity, and explain specifications to production or construction teams. They also manage documentation packages and maintain project databases, making necessary adjustments to designs based on feedback or evolving requirements.",0.3499999999999999
17-3013.00,Mechanical Drafters,"Professionals in this role create detailed technical drawings and specifications for mechanical components and systems. They use specialized software to produce two- and three-dimensional models and layouts, accurately depicting how parts fit together and function. A significant part of their day involves interpreting engineering concepts, reviewing specifications, and applying mathematical principles to ensure designs meet requirements. They collaborate with colleagues to refine concepts and resolve design challenges. Additionally, they revise existing designs to improve performance or address production issues and may assist in creating technical documentation or training others. Their work requires careful attention to detail, critical thinking, and clear communication to translate ideas into precise visual representations for manufacturing and assembly.",0.35
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,"These professionals install, operate, adjust, and maintain integrated computer systems and specialized equipment used for data acquisition and testing. They set up equipment according to specified requirements, identifying necessary data and test parameters. Daily activities involve monitoring equipment for malfunctions, performing diagnostic checks, and conducting repairs or adjustments to faulty components. They also fabricate and install parts for testing purposes. After tests, they record and interpret data, conferring with engineering personnel to discuss test procedures and results. Their responsibilities include ensuring systems are ready for operation and assessing performance against established parameters.",0.26
17-3022.00,Civil Engineering Technologists and Technicians,"Individuals in this role apply engineering principles to plan and oversee construction and maintenance projects. They meticulously review blueprints and project specifications to determine structural dimensions and material needs. Using calculators or computers, they perform detailed calculations for dimensions, quantities, and component specifications. They also draft detailed drawings and design layouts to ensure projects meet required standards. Collaboration is key, as they confer with supervisors regarding project details, site conditions, and plan preparation. They analyze site factors, create illustrative diagrams, and prepare comprehensive reports documenting activities and findings. Additionally, they monitor project sites for maintenance issues, report problems, and negotiate necessary design modifications.",0.28
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,"These professionals apply electrical and electronic theory to design, build, and repair components and systems. They interpret blueprints and schematics to assemble and test circuitry, often under engineering direction. Day-to-day activities include diagnosing and resolving equipment malfunctions, replacing defective parts using various tools, and modifying prototypes to correct deviations. They meticulously document testing procedures, operational issues, and repairs, maintaining detailed logs and manuals. Selecting appropriate components and equipment to meet specifications is crucial. They may also contribute to quality control, research part needs, and provide support for equipment installation or upgrades. Staying current with technological advancements through training is also a key responsibility.",0.328
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,"These professionals operate, test, and maintain automated and electromechanical systems. They meticulously inspect and verify component dimensions, ensuring conformance to specifications using precision instruments. They modify, repair, and troubleshoot complex electrical, electronic, or mechanical systems to ensure optimal functioning. Their work involves fabricating, assembling, and installing various components, often following detailed blueprints and schematics. They also program and install related software and hardware. Additionally, they may use specialized equipment to observe or record information in diverse environments, and assist in evaluating and testing new equipment designs, maintaining detailed operational records throughout.",0.275
17-3024.01,Robotics Technicians,"Individuals in this role construct, set up, and maintain automated systems. They perform in-depth troubleshooting to diagnose and resolve issues with robotic equipment, often involving the repair or replacement of intricate components. Daily tasks include assembling new systems, aligning and fitting parts, and testing performance using specialized instruments. They are responsible for routine maintenance and precise calibration to ensure optimal efficiency and output quality. Additionally, these professionals may program controllers, modify system operations, and document all maintenance and testing procedures. They also collaborate with others to integrate and install new equipment, and may provide training on system operation and upkeep.",0.265
17-3025.00,Environmental Engineering Technologists and Technicians,"Professionals in this field apply scientific and engineering principles to address environmental challenges. They collect and analyze various environmental samples, such as air or water, to monitor pollution levels. Their day-to-day activities involve operating and testing equipment designed for pollution control and remediation. They meticulously record data from field and laboratory work, often using computer programs or logbooks. These individuals prepare samples for shipping and testing, and they maintain equipment to ensure proper functionality. Furthermore, they compile data into reports, creating charts and graphs to illustrate findings. They also review technical documents and work plans to ensure tasks are completed accurately and in accordance with requirements.",0.26
17-3026.00,Industrial Engineering Technologists and Technicians,"Professionals in this role analyze and improve operational processes, often under the guidance of engineers. They conduct detailed studies of work methods, time, and motion to establish production standards and identify areas for increased efficiency. This involves observing workers, reviewing logs, and examining product specifications to ensure adherence to quality standards. They also compile and evaluate data to maintain product reliability and may assist in planning work assignments by considering worker capabilities, equipment capacity, and production schedules. Their work contributes to optimizing production flow and ensuring that operations meet established quality and performance benchmarks.",0.2784615384615385
17-3026.01,Nanotechnology Engineering Technologists and Technicians,"Professionals in this field operate specialized equipment to produce, test, or modify materials and devices at the molecular level. They meticulously calibrate and maintain this equipment, ensuring it functions within precise specifications. They collaborate with scientists and engineers, assisting in experiments, designing processes, and characterizing materials. Daily activities include monitoring operations, measuring and mixing substances according to strict protocols, and performing inspections. Accurate record-keeping of production and research data is essential, along with contributing to documentation for various applications. They are also responsible for maintaining a clean and safe work environment, adhering to specific standards, and troubleshooting or arranging repairs for equipment.",0.28
17-3027.00,Mechanical Engineering Technologists and Technicians,"Professionals in this field apply mechanical engineering principles to develop, test, and modify equipment. They meticulously interpret blueprints, sketches, and specifications to understand test objectives and design requirements. A significant part of their day involves setting up and conducting tests on machines, components, and materials to evaluate performance, strength, and response to stress. They analyze test results against design specifications, making adjustments as needed to meet requirements. This role involves documenting test procedures, results, and recommendations. They also provide technical support to colleagues, assist in designing specialized equipment, and conduct failure analyses to recommend corrective actions. This work requires strong analytical and problem-solving skills to ensure optimal equipment function and performance.",0.276
17-3027.01,Automotive Engineering Technicians,"Individuals in this role collaborate with engineers to evaluate the feasibility of new designs by planning and conducting tests on prototype equipment. They meticulously set up and operate test apparatus, following specifications and procedures to gather data on performance, durability, and efficiency. This involves interpreting technical documents, monitoring automated systems, and performing hands-on testing of components and entire systems. They analyze collected data, identify malfunctions or defects, and document findings using various tools. Based on their observations and analysis, they recommend design improvements and ensure equipment remains in operational condition through maintenance and minor repairs. They may also fabricate or modify components and contribute to the testing of innovative technologies and alternative energy sources.",0.26
17-3029.01,Non-Destructive Testing Specialists,"Professionals in this field meticulously examine structures, components, and materials to ensure their integrity without causing damage. They operate specialized equipment to perform various tests, interpreting complex data and results against established standards. These specialists identify potential flaws, such as cracks or fatigue, using techniques like radiography, ultrasonics, and thermal imaging. They meticulously document their findings, preparing detailed reports and records of the testing methods and outcomes. Decision-making involves selecting appropriate testing procedures, calibrating equipment, and evaluating whether detected imperfections meet safety or quality benchmarks. Some may also guide or train junior staff, contributing to the overall assurance of safety and reliability.",0.28
17-3029.08,Photonics Technicians,"Individuals in this role are responsible for the construction, setup, testing, and upkeep of optical and fiber optic systems. They meticulously calibrate and adjust equipment, including lasers and related devices, ensuring optimal performance. Day-to-day activities involve operating specialized machinery, recording test data, and meticulously documenting procedures. They also perform failure analysis on products and may assist engineers with experiments, product development, and process improvements. Maintaining a clean and organized work environment is crucial, as is managing inventory and ordering necessary supplies. These professionals ensure that optical equipment functions correctly through precise adjustments, monitoring, and quality control analysis.",0.28
17-3031.00,Surveying and Mapping Technicians,"Individuals in this role gather critical data for various projects by conducting surveys and mapping operations. They meticulously position and secure equipment to take precise measurements of angles, distances, and elevations. A key part of their day involves analyzing aerial photographs and existing information to identify and interpret topographical features, property boundaries, and other geographic attributes. They utilize specialized computer systems to manage and process this data, producing maps and reports. A significant responsibility includes verifying the accuracy of maps and data against original sources and established standards, making necessary corrections and ensuring all information is up-to-date and complete before finalizing their work.",0.28
19-1011.00,Animal Scientists,"Individuals in this role conduct research focused on the genetics, nutrition, reproduction, growth, and development of animals. They investigate the effects of management practices, processing methods, feed, and environmental conditions on the quantity and quality of animal products. Their work involves studying nutritional requirements and the nutritive values of feed materials, as well as researching and controlling selection and breeding practices to enhance efficiency and quality. They develop improved methods for feeding, housing, sanitation, and disease control. Furthermore, they communicate research findings through written reports or oral presentations to various audiences and advise producers on new products and techniques to improve their operations.",0.4
19-1012.00,Food Scientists and Technologists,"Professionals in this field apply scientific principles to analyze and improve food products and processes. They conduct in-depth studies on food composition, structure, and changes during storage or processing. Day-to-day activities involve checking raw ingredients and finished goods for safety, quality, and nutritional value, often through rigorous testing. They collaborate with various specialists to resolve development challenges and explore new methods for enhancing flavor, texture, and convenience. These professionals also research safer additives and develop innovative ways to preserve, process, package, and distribute food items, ensuring adherence to established standards and regulations.",0.4
19-1013.00,Soil and Plant Scientists,"These professionals conduct research to enhance plant growth and soil health. They design and execute experiments to investigate plant physiology, breeding, and the impact of various soil conditions and management practices on crop productivity. Their work involves analyzing soil composition, identifying and addressing issues like degradation or contamination, and developing new or improved methods for pest and weed control. They also develop strategies for soil conservation and management, aiming to improve sustainability. Additionally, they may classify soils based on their properties and locations, and communicate their findings and recommendations to various stakeholders. Their responsibilities include problem-solving, critical analysis, and contributing to advancements in agricultural and environmental science through rigorous research and data interpretation.",0.345
19-1021.00,Biochemists and Biophysicists,"Individuals in this field explore the fundamental chemical and physical processes underlying life. They design and conduct experiments to investigate complex biological mechanisms, such as metabolism, growth, and heredity, often utilizing specialized equipment. Researchers analyze the effects of various substances on living organisms and tissues, seeking to understand disease at a molecular level. They also develop new methodologies for studying biological phenomena and may design or build unique laboratory apparatus. A significant part of their work involves synthesizing and analyzing molecules, determining structures, and preparing detailed reports or scientific publications. Many also engage in teaching, advising students, and securing funding for their investigations through proposal writing.",0.4
19-1022.00,Microbiologists,"Professionals in this field conduct in-depth investigations into the characteristics, growth, structure, and development of microscopic organisms. They meticulously isolate and maintain cultures under controlled conditions, adjusting environmental factors like moisture, aeration, temperature, and nutrition. Day-to-day activities involve performing tests on various specimens to detect harmful microorganisms, identify pathogens, or assess pollution and contamination. They often analyze the relationship between organisms and disease, studying the effects of treatments and observing how microorganisms interact with living tissues and organic matter. These professionals also develop new methods for preservation and detection, prepare detailed reports on their findings, and may supervise technical staff. Their work requires careful observation using specialized equipment and rigorous scientific analysis to understand and document microbial life.",0.4
19-1023.00,Zoologists and Wildlife Biologists,"Individuals in this field investigate the characteristics of animals, including their origins, behaviors, diseases, genetics, and life processes, often by studying them in natural environments. They inventory and estimate wildlife populations, analyze the effects of environmental factors, and interpret findings to suggest operational adjustments. A key responsibility involves developing and recommending management plans for wildlife and their habitats, requiring consultation with stakeholders. They also engage with the public, providing information on wildlife and conservation matters. This work involves conducting literature reviews, classifying species, and ensuring compliance with environmental regulations. Findings are disseminated through written reports, scientific papers, and presentations to diverse audiences.",0.4
19-1029.01,Bioinformatics Scientists,"Professionals in this field engage in rigorous research by developing and applying computational methods to analyze biological data. They design databases and create algorithms to process and interpret complex information, such as genomic or proteomic datasets. A significant part of their role involves consulting with other researchers to understand challenges and propose technologically driven solutions or strategic computational approaches. They write and present research findings, manage data compilation, and may guide the work of technical staff. They also stay current with advancements by reading scientific literature and attending conferences, ensuring their tools and analyses remain cutting-edge.",0.4
19-1029.02,Molecular and Cellular Biologists,"Individuals in this role design, conduct, and interpret molecular and cellular laboratory experiments to understand cell function and organization. They execute a variety of laboratory procedures, such as sequencing, cloning, and purification. Maintaining accurate records and analyzing experimental data are crucial, with adjustments to experimental designs made as needed. These professionals also prepare reports, manuscripts, and presentations, and may write grant applications for funding. They often coordinate research activities with specialists in other fields, provide scientific direction for project teams, and supervise technical staff and fellows. Additionally, they may instruct students, evaluate new technologies and equipment, and ensure resources are used effectively for research and development projects.",0.4
19-1029.03,Geneticists,"Professionals in this field conduct research into how traits are inherited, examining these at various levels from molecular to population. They often plan and execute studies, meticulously documenting methods and results in laboratory notebooks. A significant part of their work involves analyzing genetic data, which may include performing mathematical and statistical calculations or creating statistical models. They extract genetic material and conduct diagnostic tests using specialized processes. These professionals also stay current with advancements by attending conferences and reviewing scientific literature. They may present findings at conferences, publish in journals, or write grant proposals to secure funding for their research. Additionally, they might collaborate with others, supervise research teams, and instruct students on genetic principles or diagnostic techniques.",0.4
19-1029.04,Biologists,"Individuals in this role engage in the detailed study of plant and animal life, investigating fundamental principles such as origin, relationships, development, anatomy, and function. They meticulously identify, classify, and analyze species, examining aspects of behavior, ecology, physiology, and distribution. A significant part of their work involves collecting and analyzing biological data, particularly concerning interactions among organisms and their environments. They utilize computers for data storage, processing, and analysis. Furthermore, they prepare comprehensive research reports and communicate findings to diverse audiences, including government bodies and the public, and may write proposals to secure funding for their investigations. They also often collaborate with various groups and agencies to foster cooperative management or share information.",
19-1031.00,Conservation Scientists,"These professionals apply scientific principles to manage, improve, and protect natural resources. They conduct surveys and analyze data to develop conservation plans aimed at preventing soil erosion and preserving land quality. They advise land users on best practices for soil and water management, such as crop rotation and proper land use, and guide decisions on the number and type of livestock suitable for specific areas. They monitor projects to ensure adherence to specifications, compute design requirements using technical information, and may develop soil maps and environmental studies. They also collaborate with government agencies and other stakeholders to coordinate resource protection efforts and resolve disputes, ensuring compliance with regulations and program goals.",0.38
19-1031.02,Range Managers,"These professionals study land management techniques to ensure continuous production of vegetation, livestock, and wildlife. They assess vegetation, manage forage through methods like controlled burns or revegetation, and maintain soil stability for various uses, including wildlife habitats and recreation. They develop plans for land users, offering advice on water management and brush control. These roles involve coordinating with diverse groups to manage and protect land resources. They also plan and oversee the creation and upkeep of land improvements, such as fencing and watering systems. Furthermore, they research and analyze land problems to devise strategies for sustained resource output and mediate agreements on land utilization.",0.38
19-1031.03,Park Naturalists,"Individuals in this role develop and present educational programs to inform the public about significant natural, historical, and scientific aspects of an area. They interact with visitors, answer inquiries, explain regulations, and address concerns to provide excellent service. These professionals plan and conduct field trips and lectures, often incorporating visual aids and detailed research on local environments. They also design and create interpretive displays for visitor centers and develop educational materials for schools. Collaborating with colleagues, they schedule programs and coordinate activities. Additionally, they may supervise and train seasonal staff, prepare written materials like brochures, and perform duties to protect visitors and resources during emergencies.",0.38
19-1032.00,Foresters,"Professionals in this field develop and implement plans for managing forest resources sustainably. They assess forest conditions, map vegetation, and estimate timber value and growth potential. These professionals negotiate contracts for harvesting, ensuring compliance with regulations and minimizing environmental impact. They design and oversee projects for conservation, including wildlife habitat preservation and water quality protection. Their responsibilities extend to planning reforestation efforts, selecting planting sites, and monitoring the health and growth of new trees. They also supervise forestry operations and provide expert advice on a range of forestry-related issues to various stakeholders. Their work involves complex problem-solving and critical decision-making to balance resource utilization with long-term ecological health.",0.29
19-1041.00,Epidemiologists,"Professionals in this field investigate and analyze the causes, spread, and effects of diseases, disabilities, and other health conditions. They design and conduct studies to identify risk factors, track disease patterns, and monitor outbreaks. A significant part of their role involves developing and implementing strategies for prevention and control. They communicate their findings through written reports, publications, and presentations to various audiences, including healthcare providers, policymakers, and the public. These professionals also oversee public health programs, contributing to health planning, surveillance, and improvement initiatives. They may also secure funding for research and supervise teams involved in data collection and analysis to advance public health understanding and practices.",0.4
19-1042.00,"Medical Scientists, Except Epidemiologists","Professionals in this field design and execute studies to understand human and animal diseases, seeking to improve health outcomes and treatments. They meticulously analyze biological samples, evaluating the impact of various substances and agents. A significant part of their work involves developing and refining research methodologies and instrumentation. They are responsible for interpreting complex data, documenting findings, and communicating results through publications and presentations to both scientific peers and the public. Adhering to stringent safety protocols when handling hazardous materials is paramount. They also contribute to the education of others by teaching medical principles and laboratory procedures, and actively seek funding by preparing grant applications.",0.4
19-2011.00,Astronomers,"Professionals in this field investigate celestial phenomena by studying emissions from extraterrestrial sources and observing the sky using specialized instruments. They meticulously analyze research data with computer assistance, calculating orbits, and determining the characteristics of celestial bodies.  Findings are synthesized into theories or presented through scientific publications and conferences. Collaboration is frequent, involving joint research projects, mentoring students, and reviewing proposals.  Some also engage in developing new observational tools and software, teaching, or preparing public presentations to share knowledge about the cosmos. They often contribute to committees and seek funding to advance their scientific inquiries.",0.38
19-2012.00,Physicists,"Professionals in this field engage in rigorous investigation of natural phenomena, formulating theories based on observations and experimental findings. They develop and utilize mathematical frameworks to describe physical processes and model complex systems using simulations. A significant part of their work involves analyzing collected data to identify and quantify physical properties. They communicate their research outcomes through scholarly publications and presentations at scientific gatherings. Additionally, these professionals may secure funding for their research by writing proposals and often contribute to education by teaching scientific principles to students. Their work requires advanced analytical skills, critical thinking, and the ability to interpret and express findings accurately.",0.38
19-2021.00,Atmospheric and Space Scientists,"These professionals investigate atmospheric phenomena and interpret meteorological data. They gather information from various sources like surface and air stations, satellites, and radar. Using this data, they employ mathematical and computer models, along with scientific principles, to prepare reports and forecasts. Their work involves analyzing complex datasets, historical climate information, and environmental factors to predict both short- and long-term conditions. They often consult with other experts and may prepare scientific reports or present findings to the public or specific groups. Some may also develop training materials or apply their knowledge to broader environmental issues, contributing to a deeper understanding of atmospheric processes and climate.",0.54
19-2031.00,Chemists,"Professionals in this role conduct qualitative and quantitative analyses or experiments. They develop, improve, or customize products, equipment, formulas, processes, or analytical methods. This involves analyzing compounds to determine chemical or physical properties, composition, structure, relationships, or reactions using various techniques. They induce changes in substances by introducing heat, light, energy, or catalysts to facilitate analysis. Maintaining laboratory instruments, troubleshooting malfunctions, and preparing test solutions are also key responsibilities. These professionals compile and analyze test information to ensure efficiency and diagnose issues. They confer with colleagues to interpret test results, develop tests, and advise on procedures. Evaluating safety and purchasing supplies are also part of their duties.",0.39
19-2032.00,Materials Scientists,"Individuals in this role analyze and investigate the properties and structures of diverse natural and synthetic materials, including metals, polymers, and ceramics. They plan and conduct experiments to assess material behavior under various conditions and stresses, aiming to enhance existing materials or develop new ones with specific characteristics. This involves testing materials for mechanical, electrical, and thermal properties, and evaluating their performance in different environments. They also document findings through reports and research papers, and collaborate with colleagues and customers to understand requirements and recommend appropriate material solutions for various applications. This work may also involve supervising production processes and ensuring adherence to quality standards.",0.3399999999999999
19-2041.00,"Environmental Scientists and Specialists, Including Health","Professionals in this field conduct investigations to identify, mitigate, or eliminate sources of pollution or hazards affecting the environment or public health. They collect, analyze, and synthesize data from various sources, such as air, soil, and water samples, to understand environmental impacts and pollution levels. Based on their findings, they prepare reports, create charts, and provide scientific guidance. They also develop theories and methods for pollution abatement and control, and recommend preventive measures. These professionals communicate scientific and technical information to diverse audiences, review and implement environmental regulations, and provide oversight for environmental programs. Additionally, they may conduct audits, process permits, and offer advice on environmental management policies and strategies.",0.38
