soc,skills_list,skill_text,cluster_id,canonical_skill
Industrial-Organizational Psychologists," ""Employee Relations""",employee relations,118,employee relations
Industrial-Organizational Psychologists," ""Career Counseling""",career counseling,143,career counseling
Industrial-Organizational Psychologists," ""Research Methods""]",research methods,18,research methods
Clinical and Counseling Psychologists,"[""Counseling techniques""",counseling techniques,203,counseling techniques
Clinical and Counseling Psychologists," ""Therapeutic planning""",therapeutic planning,899,treatment planning
Clinical and Counseling Psychologists," ""Client assessment""",client assessment,233,client assessment
Clinical and Counseling Psychologists," ""Mental health diagnosis""",mental health diagnosis,896,mental health assessment
Clinical and Counseling Psychologists," ""Treatment plan development""",treatment plan development,899,treatment planning
Clinical and Counseling Psychologists," ""Crisis intervention""",crisis intervention,900,crisis intervention
Clinical and Counseling Psychologists," ""Behavior modification""",behavior modification,901,behavior modification
Clinical and Counseling Psychologists," ""Psychological testing""",psychological testing,896,mental health assessment
Clinical and Counseling Psychologists," ""Case management""",case management,902,case management
Clinical and Counseling Psychologists," ""Professional knowledge""",professional knowledge,903,professional knowledge
Clinical and Counseling Psychologists," ""Critical thinking""",critical thinking,60,critical thinking
Clinical and Counseling Psychologists," ""Communication skills""]",communication skills,4,communication
School Psychologists,"[""Child Development Understanding""",child development understanding,904,child development
School Psychologists," ""Counseling Techniques""",counseling techniques,203,counseling techniques
School Psychologists," ""Data Analysis""",data analysis,148,data analysis
School Psychologists," ""Educational Program Design""",educational program design,905,educational program development
School Psychologists," ""Family Consultation""",family consultation,152,client consultation
School Psychologists," ""Individualized Education Planning""",individualized education planning,906,individualized education planning
School Psychologists," ""Learning Style Analysis""",learning style analysis,907,learning style analysis
School Psychologists," ""Psychological Assessment""",psychological assessment,896,mental health assessment
School Psychologists," ""Record Maintenance""",record maintenance,50,record keeping
School Psychologists," ""School Program Evaluation""",school program evaluation,23,operations monitoring
School Psychologists," ""Student Counseling""",student counseling,141,student counseling
School Psychologists," ""Test Administration""]",test administration,908,test administration
Neuropsychologists,"[""Cognitive Function Assessment""",cognitive function assessment,909,cognitive function assessment
Neuropsychologists," ""Medical History Interviewing""",medical history interviewing,50,record keeping
Neuropsychologists," ""Clinical Report Writing""",clinical report writing,66,report writing
Neuropsychologists," ""Neurobehavioral Diagnosis""",neurobehavioral diagnosis,910,neurobehavioral diagnosis
Neuropsychologists," ""Rehabilitation Planning""",rehabilitation planning,911,rehabilitation planning
Neuropsychologists," ""Patient Education""",patient education,912,patient education
Neuropsychologists," ""Counseling""",counseling,203,counseling techniques
Neuropsychologists," ""Research Methods""",research methods,18,research methods
Neuropsychologists," ""Literature Review""",literature review,527,literature review
Neuropsychologists," ""Professional Development""",professional development,913,professional development
Neuropsychologists," ""Collaboration""",collaboration,4,communication
Neuropsychologists," ""Supervision""]",supervision,42,staff supervision
Clinical Neuropsychologists,"[""Cognitive Assessment""",cognitive assessment,909,cognitive function assessment
Clinical Neuropsychologists," ""Neurobehavioral Analysis""",neurobehavioral analysis,914,neurobehavioral analysis
Clinical Neuropsychologists," ""Medical History Interviewing""",medical history interviewing,50,record keeping
Clinical Neuropsychologists," ""Test Administration""",test administration,908,test administration
Clinical Neuropsychologists," ""Report Writing""",report writing,66,report writing
Clinical Neuropsychologists," ""Diagnosis""",diagnosis,915,medical diagnosis
Clinical Neuropsychologists," ""Treatment Planning""",treatment planning,899,treatment planning
Clinical Neuropsychologists," ""Therapy Techniques""",therapy techniques,203,counseling techniques
Clinical Neuropsychologists," ""Patient Education""",patient education,912,patient education
Clinical Neuropsychologists," ""Collaboration""",collaboration,4,communication
Clinical Neuropsychologists," ""Progress Monitoring""",progress monitoring,916,progress monitoring
Clinical Neuropsychologists," ""Risk Communication""]",risk communication,917,risk communication
Sociologists,"[""Social Research""",social research,918,social research
Sociologists," ""Data Analysis""",data analysis,148,data analysis
Sociologists," ""Communication""",communication,4,communication
Sociologists," ""Critical Thinking""",critical thinking,60,critical thinking
Sociologists," ""Problem Solving""",problem solving,5,problem solving
Sociologists," ""Collaboration""",collaboration,4,communication
Sociologists," ""Grant Writing""",grant writing,20,grant writing
Sociologists," ""Public Speaking""",public speaking,4,communication
Sociologists," ""Research Design""",research design,524,research design
Sociologists," ""Data Collection""",data collection,552,data collection
Sociologists," ""Social Dynamics""",social dynamics,919,social dynamics
Sociologists," ""Theory Development""",theory development,920,theory development
Sociologists," ""Policy Analysis""]",policy analysis,1,policy development
Urban and Regional Planners,"[""Land Use Planning""",land use planning,361,land use planning
Urban and Regional Planners," ""Community Development""",community development,921,community development
Urban and Regional Planners," ""Urban Planning""",urban planning,886,urban planning
Urban and Regional Planners," ""Sustainability""",sustainability,9,risk management
Urban and Regional Planners," ""Environmental Impact Analysis""",environmental impact analysis,9,risk management
Urban and Regional Planners," ""Data Analysis""",data analysis,148,data analysis
Urban and Regional Planners," ""Research Methods""",research methods,18,research methods
Urban and Regional Planners," ""Policy Development""",policy development,1,policy development
Urban and Regional Planners," ""Regulatory Compliance""",regulatory compliance,19,equipment maintenance
Urban and Regional Planners," ""Project Management""",project management,15,project management
Urban and Regional Planners," ""Collaboration""",collaboration,4,communication
Urban and Regional Planners," ""Communication""",communication,4,communication
Urban and Regional Planners," ""Problem Solving""",problem solving,5,problem solving
Urban and Regional Planners," ""Critical Thinking""]",critical thinking,60,critical thinking
Anthropologists and Archeologists,"[""Cultural Analysis""",cultural analysis,922,cultural analysis
Anthropologists and Archeologists," ""Research Methods""",research methods,18,research methods
Anthropologists and Archeologists," ""Data Collection""",data collection,552,data collection
Anthropologists and Archeologists," ""Data Analysis""",data analysis,148,data analysis
Anthropologists and Archeologists," ""Historical Research""",historical research,923,historical research
Anthropologists and Archeologists," ""Anthropological Theory""",anthropological theory,924,anthropological theory
Anthropologists and Archeologists," ""Community Engagement""",community engagement,925,community engagement
Anthropologists and Archeologists," ""Cultural Sensitivity""",cultural sensitivity,926,cultural sensitivity
Anthropologists and Archeologists," ""Grant Writing""",grant writing,20,grant writing
Anthropologists and Archeologists," ""Public Speaking""",public speaking,4,communication
Anthropologists and Archeologists," ""Presentation Skills""",presentation skills,178,presentation skills
Anthropologists and Archeologists," ""Report Writing""",report writing,66,report writing
Anthropologists and Archeologists," ""Social Pattern Analysis""]",social pattern analysis,927,social pattern analysis
Geographers,"[""Geographic data analysis""",geographic data analysis,548,geographic data analysis
Geographers," ""Map creation""",map creation,549,map creation
Geographers," ""Cartography""",cartography,551,cartography
Geographers," ""Geographic information systems""",geographic information systems,192,geographic information systems
Geographers," ""Spatial analysis""",spatial analysis,498,spatial analysis
Geographers," ""Research methods""",research methods,18,research methods
Geographers," ""Data visualization""",data visualization,325,data visualization
Geographers," ""Environmental consulting""",environmental consulting,928,environmental consulting
Geographers," ""Resource management""",resource management,7,time management
Geographers," ""Business planning""",business planning,345,business planning
Geographers," ""Cultural analysis""",cultural analysis,922,cultural analysis
Geographers," ""Physical geography""",physical geography,929,human geography
Geographers," ""Human geography""",human geography,929,human geography
Geographers," ""Global studies""]",global studies,930,global studies
Historians,"[""Historical Research""",historical research,923,historical research
Historians," ""Critical Analysis""",critical analysis,931,critical analysis
Historians," ""Data Organization""",data organization,50,record keeping
Historians," ""Authenticity Evaluation""",authenticity evaluation,932,authenticity evaluation
Historians," ""Historical Accuracy""",historical accuracy,933,historical accuracy
Historians," ""Communication Skills""",communication skills,4,communication
Historians," ""Public Speaking""",public speaking,4,communication
Historians," ""Writing Techniques""",writing techniques,266,writing skills
Historians," ""Exhibit Preparation""",exhibit preparation,934,exhibit planning
Historians," ""Preservation Methods""",preservation methods,935,preservation methods
Historians," ""Oral History Recording""",oral history recording,936,oral history recording
Historians," ""Historical Interpretation""]",historical interpretation,937,historical interpretation
Political Scientists,"[""Data Analysis""",data analysis,148,data analysis
Political Scientists," ""Critical Thinking""",critical thinking,60,critical thinking
Political Scientists," ""Research Methods""",research methods,18,research methods
Political Scientists," ""Policy Analysis""",policy analysis,1,policy development
Political Scientists," ""Governmental Systems""",governmental systems,938,governmental systems
Political Scientists," ""Public Opinion Analysis""",public opinion analysis,939,public opinion analysis
Political Scientists," ""Election Analysis""",election analysis,940,election analysis
Political Scientists," ""Statistical Analysis""",statistical analysis,148,data analysis
Political Scientists," ""Academic Writing""",academic writing,802,academic writing
Political Scientists," ""Presentation Skills""",presentation skills,178,presentation skills
Political Scientists," ""Teaching""",teaching,849,teaching
Political Scientists," ""Committee Work""]",committee work,147,committee work
Transportation Planners,"[""Data Analysis""",data analysis,148,data analysis
Transportation Planners," ""Transportation Planning""",transportation planning,231,transportation management
Transportation Planners," ""Modeling and Simulation""",modeling and simulation,941,modeling and simulation
Transportation Planners," ""Environmental Impact Assessment""",environmental impact assessment,9,risk management
Transportation Planners," ""Regulatory Compliance""",regulatory compliance,19,equipment maintenance
Transportation Planners," ""Stakeholder Engagement""",stakeholder engagement,14,stakeholder communication
Transportation Planners," ""Public Speaking""",public speaking,4,communication
Transportation Planners," ""Report Writing""",report writing,66,report writing
Transportation Planners," ""Collaboration and Teamwork""",collaboration and teamwork,4,communication
Transportation Planners," ""Problem Solving""",problem solving,5,problem solving
Transportation Planners," ""Critical Thinking""",critical thinking,60,critical thinking
Transportation Planners," ""Data Interpretation""",data interpretation,148,data analysis
Transportation Planners," ""Transportation Systems Analysis""]",transportation systems analysis,942,transportation systems analysis
Agricultural Technicians,"[""Crop analysis""",crop analysis,133,crop management
Agricultural Technicians," ""Laboratory equipment maintenance""",laboratory equipment maintenance,19,equipment maintenance
Agricultural Technicians," ""Data recording""",data recording,752,data recording
Agricultural Technicians," ""Animal specimen examination""",animal specimen examination,943,animal specimen examination
Agricultural Technicians," ""Crop breeding techniques""",crop breeding techniques,133,crop management
Agricultural Technicians," ""Nutrition studies""",nutrition studies,795,nutrition studies
Agricultural Technicians," ""Equipment operation""",equipment operation,19,equipment maintenance
Agricultural Technicians," ""Field equipment setup""",field equipment setup,19,equipment maintenance
Agricultural Technicians," ""Scientific research methods""",scientific research methods,18,research methods
Agricultural Technicians," ""Experimentation techniques""",experimentation techniques,944,experimentation
Agricultural Technicians," ""Crop quality improvement""",crop quality improvement,945,crop quality control
Agricultural Technicians," ""Disease resistance enhancement""]",disease resistance enhancement,946,disease resistance enhancement
Precision Agriculture Technicians,"[""Precision Agriculture""",precision agriculture,947,precision agriculture
Precision Agriculture Technicians," ""Geospatial Analysis""",geospatial analysis,548,geographic data analysis
Precision Agriculture Technicians," ""Data Collection""",data collection,552,data collection
Precision Agriculture Technicians," ""Soil Sampling""",soil sampling,948,soil sampling
Precision Agriculture Technicians," ""Crop Yield Analysis""",crop yield analysis,133,crop management
Precision Agriculture Technicians," ""Site-Specific Management""",site-specific management,949,site management
Precision Agriculture Technicians," ""Sensor Installation""",sensor installation,950,sensor installation
Precision Agriculture Technicians," ""GPS Technology""",gps technology,951,gps technology
Precision Agriculture Technicians," ""Remote Sensing""",remote sensing,558,remote sensing
Precision Agriculture Technicians," ""Map Creation""",map creation,549,map creation
Precision Agriculture Technicians," ""Data Interpretation""",data interpretation,148,data analysis
Precision Agriculture Technicians," ""Environmental Impact Reduction""]",environmental impact reduction,9,risk management
Food Science Technicians,"[""Food Analysis""",food analysis,788,food analysis
Food Science Technicians," ""Laboratory Techniques""",laboratory techniques,424,laboratory techniques
Food Science Technicians," ""Quality Control""",quality control,19,equipment maintenance
Food Science Technicians," ""Equipment Calibration""",equipment calibration,748,equipment calibration
Food Science Technicians," ""Microscopic Examination""",microscopic examination,952,microscopic examination
Food Science Technicians," ""Chemical Analysis""",chemical analysis,585,chemical analysis
Food Science Technicians," ""Physical Properties Testing""",physical properties testing,953,physical properties testing
Food Science Technicians," ""Nutritional Content Analysis""",nutritional content analysis,795,nutrition studies
Food Science Technicians," ""Record Keeping""",record keeping,50,record keeping
Food Science Technicians," ""Temperature Control""",temperature control,954,temperature control
Food Science Technicians," ""Mathematical Procedures""",mathematical procedures,955,mathematical procedures
Food Science Technicians," ""Scientific Research""]",scientific research,18,research methods
Biological Technicians,"[""Laboratory Equipment Maintenance""",laboratory equipment maintenance,19,equipment maintenance
Biological Technicians," ""Data Analysis""",data analysis,148,data analysis
Biological Technicians," ""Scientific Research Techniques""",scientific research techniques,18,research methods
Biological Technicians," ""Sample Preparation""",sample preparation,956,sample preparation
Biological Technicians," ""Experiment Monitoring""",experiment monitoring,957,experiment monitoring
Biological Technicians," ""Technical Support""",technical support,71,technical support
Biological Technicians," ""Supply Management""",supply management,26,supply chain management
Biological Technicians," ""Data Recording""",data recording,752,data recording
Biological Technicians," ""Laboratory Safety Protocols""",laboratory safety protocols,822,laboratory safety
Biological Technicians," ""Equipment Calibration""",equipment calibration,748,equipment calibration
Biological Technicians," ""Troubleshooting Techniques""",troubleshooting techniques,423,troubleshooting
Biological Technicians," ""Quality Control Procedures""]",quality control procedures,19,equipment maintenance
Chemical Technicians,"[""Chemical analysis""",chemical analysis,585,chemical analysis
Chemical Technicians," ""Laboratory techniques""",laboratory techniques,424,laboratory techniques
Chemical Technicians," ""Quality control""",quality control,19,equipment maintenance
Chemical Technicians," ""Experimentation""",experimentation,944,experimentation
Chemical Technicians," ""Data interpretation""",data interpretation,148,data analysis
Chemical Technicians," ""Technical writing""",technical writing,66,report writing
Chemical Technicians," ""Safety protocols""",safety protocols,19,equipment maintenance
Chemical Technicians," ""Inventory management""",inventory management,41,inventory management
Chemical Technicians," ""Equipment maintenance""",equipment maintenance,19,equipment maintenance
Chemical Technicians," ""Laboratory safety""",laboratory safety,822,laboratory safety
Chemical Technicians," ""Chemical preparation""",chemical preparation,803,chemical synthesis
Chemical Technicians," ""Test compilation""",test compilation,958,test compilation
Chemical Technicians," ""Scientific documentation""",scientific documentation,959,scientific documentation
Chemical Technicians," ""Material handling""]",material handling,59,material handling
"Environmental Science and Protection Technicians, Including Health","[""Environmental Analysis""",environmental analysis,9,risk management
"Environmental Science and Protection Technicians, Including Health"," ""Laboratory Testing""",laboratory testing,424,laboratory techniques
"Environmental Science and Protection Technicians, Including Health"," ""Field Testing""",field testing,960,field testing
"Environmental Science and Protection Technicians, Including Health"," ""Sample Collection""",sample collection,961,sample collection
"Environmental Science and Protection Technicians, Including Health"," ""Data Interpretation""",data interpretation,148,data analysis
"Environmental Science and Protection Technicians, Including Health"," ""Report Writing""",report writing,66,report writing
"Environmental Science and Protection Technicians, Including Health"," ""Hazard Inspection""",hazard inspection,19,equipment maintenance
"Environmental Science and Protection Technicians, Including Health"," ""Technical Assistance""",technical assistance,431,technical assistance
"Environmental Science and Protection Technicians, Including Health"," ""Environmental Protection""",environmental protection,9,risk management
"Environmental Science and Protection Technicians, Including Health"," ""Public Health Education""",public health education,170,health education
"Environmental Science and Protection Technicians, Including Health"," ""Pollutant Measurement""",pollutant measurement,962,pollutant measurement
"Environmental Science and Protection Technicians, Including Health"," ""Calibration Techniques""",calibration techniques,748,equipment calibration
"Environmental Science and Protection Technicians, Including Health"," ""Data Analysis""",data analysis,148,data analysis
"Environmental Science and Protection Technicians, Including Health"," ""Statistical Analysis""]",statistical analysis,148,data analysis
"Geological Technicians, Except Hydrologic Technicians","[""Geological Data Analysis""",geological data analysis,666,geological analysis
"Geological Technicians, Except Hydrologic Technicians"," ""Laboratory Techniques""",laboratory techniques,424,laboratory techniques
"Geological Technicians, Except Hydrologic Technicians"," ""Sampling Methods""",sampling methods,253,sampling techniques
"Geological Technicians, Except Hydrologic Technicians"," ""Data Logging""",data logging,963,data logging
"Geological Technicians, Except Hydrologic Technicians"," ""Geological Mapping""",geological mapping,880,geological mapping
"Geological Technicians, Except Hydrologic Technicians"," ""Equipment Maintenance""",equipment maintenance,19,equipment maintenance
"Geological Technicians, Except Hydrologic Technicians"," ""Testing Equipment""",testing equipment,758,equipment testing
"Geological Technicians, Except Hydrologic Technicians"," ""Data Visualization""",data visualization,325,data visualization
"Geological Technicians, Except Hydrologic Technicians"," ""Scientific Research""",scientific research,18,research methods
"Geological Technicians, Except Hydrologic Technicians"," ""Resource Exploration""",resource exploration,964,resource exploration
"Geological Technicians, Except Hydrologic Technicians"," ""Well Logging""",well logging,965,well logging
"Geological Technicians, Except Hydrologic Technicians"," ""Drill Cuttings Analysis""]",drill cuttings analysis,966,drill cuttings analysis
Nuclear Technicians,"[""Equipment Maintenance""",equipment maintenance,19,equipment maintenance
Nuclear Technicians," ""Quality Control Analysis""",quality control analysis,19,equipment maintenance
Nuclear Technicians," ""Operations Monitoring""",operations monitoring,23,operations monitoring
Nuclear Technicians," ""Operation and Control""",operation and control,967,operation and control
Nuclear Technicians," ""Troubleshooting""",troubleshooting,423,troubleshooting
Nuclear Technicians," ""Repairing""",repairing,19,equipment maintenance
Nuclear Technicians," ""Radiation Safety""",radiation safety,968,radiation safety
Nuclear Technicians," ""Environmental Protection""",environmental protection,9,risk management
Nuclear Technicians," ""Equipment Operation""",equipment operation,19,equipment maintenance
Nuclear Technicians," ""Quality Assurance""",quality assurance,19,equipment maintenance
Nuclear Technicians," ""Laboratory Techniques""",laboratory techniques,424,laboratory techniques
Nuclear Technicians," ""Scientific Analysis""",scientific analysis,148,data analysis
Nuclear Technicians," ""Critical Thinking""",critical thinking,60,critical thinking
Nuclear Technicians," ""Problem Solving""]",problem solving,5,problem solving
Nuclear Monitoring Technicians,"[""Radiation detection""",radiation detection,969,radiation detection
Nuclear Monitoring Technicians," ""Contamination analysis""",contamination analysis,813,contamination control
Nuclear Monitoring Technicians," ""Sample collection""",sample collection,961,sample collection
Nuclear Monitoring Technicians," ""Decontamination procedures""",decontamination procedures,970,decontamination procedures
Nuclear Monitoring Technicians," ""Radioactive waste management""",radioactive waste management,223,waste management
Nuclear Monitoring Technicians," ""Safety procedures instruction""",safety procedures instruction,19,equipment maintenance
Nuclear Monitoring Technicians," ""Protective gear usage""",protective gear usage,971,protective gear usage
Nuclear Monitoring Technicians," ""Report writing""",report writing,66,report writing
Nuclear Monitoring Technicians," ""Data analysis""",data analysis,148,data analysis
Nuclear Monitoring Technicians," ""Critical thinking""",critical thinking,60,critical thinking
Nuclear Monitoring Technicians," ""Problem solving""",problem solving,5,problem solving
Nuclear Monitoring Technicians," ""Equipment operation""",equipment operation,19,equipment maintenance
Nuclear Monitoring Technicians," ""Monitoring techniques""]",monitoring techniques,23,operations monitoring
Social Science Research Assistants,"[""Data Analysis""",data analysis,148,data analysis
Social Science Research Assistants," ""Database Management""",database management,50,record keeping
Social Science Research Assistants," ""Data Entry""",data entry,534,data entry
Social Science Research Assistants," ""Data Cleaning""",data cleaning,972,data cleaning
Social Science Research Assistants," ""Statistical Analysis""",statistical analysis,148,data analysis
Social Science Research Assistants," ""Research Methods""",research methods,18,research methods
Social Science Research Assistants," ""Quality Control""",quality control,19,equipment maintenance
Social Science Research Assistants," ""Data Management""",data management,50,record keeping
Social Science Research Assistants," ""Research Design""",research design,524,research design
Social Science Research Assistants," ""Presentation Skills""",presentation skills,178,presentation skills
Social Science Research Assistants," ""Report Writing""",report writing,66,report writing
Social Science Research Assistants," ""Graphical Representation""",graphical representation,547,visual representation
Social Science Research Assistants," ""Data Visualization""]",data visualization,325,data visualization
Forest and Conservation Technicians,"[""Forest Management""",forest management,622,forest management
Forest and Conservation Technicians," ""Conservation Planning""",conservation planning,9,risk management
Forest and Conservation Technicians," ""Environmental Protection""",environmental protection,9,risk management
Forest and Conservation Technicians," ""Resource Utilization""",resource utilization,7,time management
Forest and Conservation Technicians," ""Fire Prevention""",fire prevention,622,forest management
Forest and Conservation Technicians," ""Facility Maintenance""",facility maintenance,55,facility maintenance
Forest and Conservation Technicians," ""Data Collection""",data collection,552,data collection
Forest and Conservation Technicians," ""Data Mapping""",data mapping,973,data mapping
Forest and Conservation Technicians," ""Team Leadership""",team leadership,3,team management
Forest and Conservation Technicians," ""Communication""",communication,4,communication
Forest and Conservation Technicians," ""Problem Solving""",problem solving,5,problem solving
Forest and Conservation Technicians," ""Resource Preservation""]",resource preservation,974,resource preservation
Forensic Science Technicians,"[""Physical Evidence Analysis""",physical evidence analysis,975,physical evidence analysis
Forensic Science Technicians," ""Scientific Laboratory Techniques""",scientific laboratory techniques,424,laboratory techniques
Forensic Science Technicians," ""Crime Scene Investigation""",crime scene investigation,976,incident reporting
Forensic Science Technicians," ""Evidence Preservation""",evidence preservation,977,evidence preservation
Forensic Science Technicians," ""Testimony and Expert Witness""",testimony and expert witness,274,testimony
Forensic Science Technicians," ""Collaboration and Teamwork""",collaboration and teamwork,4,communication
Forensic Science Technicians," ""Laboratory Equipment Operation""",laboratory equipment operation,19,equipment maintenance
Forensic Science Technicians," ""Chemical Analysis""",chemical analysis,585,chemical analysis
Forensic Science Technicians," ""Fingerprint Examination""",fingerprint examination,978,fingerprint analysis
Forensic Science Technicians," ""Blood Stain Pattern Analysis""",blood stain pattern analysis,979,blood stain pattern analysis
Forensic Science Technicians," ""Gunshot Residue Analysis""",gunshot residue analysis,980,gunshot residue analysis
Forensic Science Technicians," ""Footwear and Tire Track Examination""",footwear and tire track examination,981,footwear and tire track examination
Forensic Science Technicians," ""Impression Evidence Analysis""]",impression evidence analysis,982,impression evidence analysis
Quality Control Analysts,"[""Analytical Methods Evaluation""",analytical methods evaluation,889,analytical techniques
Quality Control Analysts," ""Analytical Techniques""",analytical techniques,889,analytical techniques
Quality Control Analysts," ""Calibration""",calibration,748,equipment calibration
Quality Control Analysts," ""Chemical Analysis""",chemical analysis,585,chemical analysis
Quality Control Analysts," ""Critical Thinking""",critical thinking,60,critical thinking
Quality Control Analysts," ""Data Analysis""",data analysis,148,data analysis
Quality Control Analysts," ""Documentation""",documentation,92,technical documentation
Quality Control Analysts," ""Equipment Maintenance""",equipment maintenance,19,equipment maintenance
Quality Control Analysts," ""Laboratory Techniques""",laboratory techniques,424,laboratory techniques
Quality Control Analysts," ""Materials Testing""",materials testing,983,materials testing
Quality Control Analysts," ""Monitoring""",monitoring,23,operations monitoring
Quality Control Analysts," ""Quality Control""",quality control,19,equipment maintenance
Quality Control Analysts," ""Quality Management""",quality management,19,equipment maintenance
Quality Control Analysts," ""Record Keeping""",record keeping,50,record keeping
Quality Control Analysts," ""Scientific Analysis""]",scientific analysis,148,data analysis
Remote Sensing Technicians,"[""Geospatial Data Analysis""",geospatial data analysis,548,geographic data analysis
Remote Sensing Technicians," ""Image Processing""",image processing,984,image processing
Remote Sensing Technicians," ""Data Integration""",data integration,454,data integration
Remote Sensing Technicians," ""Project Planning""",project planning,15,project management
Remote Sensing Technicians," ""Documentation Preparation""",documentation preparation,92,technical documentation
Remote Sensing Technicians," ""Presentation Skills""",presentation skills,178,presentation skills
Remote Sensing Technicians," ""Mathematical Analysis""",mathematical analysis,474,mathematical analysis
Remote Sensing Technicians," ""Critical Thinking""",critical thinking,60,critical thinking
Remote Sensing Technicians," ""Problem Solving""",problem solving,5,problem solving
Remote Sensing Technicians," ""Data Verification""",data verification,235,data verification
Remote Sensing Technicians," ""Data Manipulation""",data manipulation,985,data manipulation
Remote Sensing Technicians," ""Photo Mosaics Creation""]",photo mosaics creation,986,photo mosaics creation
Occupational Health and Safety Specialists,"[""Hazard Identification""",hazard identification,987,hazard identification
Occupational Health and Safety Specialists," ""Risk Assessment""",risk assessment,9,risk management
Occupational Health and Safety Specialists," ""Program Development""",program development,209,program development
Occupational Health and Safety Specialists," ""Training Delivery""",training delivery,21,training and development
Occupational Health and Safety Specialists," ""Compliance Monitoring""",compliance monitoring,184,compliance management
Occupational Health and Safety Specialists," ""Emergency Planning""",emergency planning,62,emergency response
Occupational Health and Safety Specialists," ""Incident Investigation""",incident investigation,976,incident reporting
Occupational Health and Safety Specialists," ""Sample Collection""",sample collection,961,sample collection
Occupational Health and Safety Specialists," ""Data Analysis""",data analysis,148,data analysis
Occupational Health and Safety Specialists," ""Regulatory Knowledge""",regulatory knowledge,212,regulatory knowledge
Occupational Health and Safety Specialists," ""Communication Skills""",communication skills,4,communication
Occupational Health and Safety Specialists," ""Collaboration""",collaboration,4,communication
Occupational Health and Safety Specialists," ""Problem Solving""",problem solving,5,problem solving
Occupational Health and Safety Specialists," ""Safety Standards""]",safety standards,19,equipment maintenance
Occupational Health and Safety Technicians,"[""Environmental Risk Assessment""",environmental risk assessment,9,risk management
Occupational Health and Safety Technicians," ""Safety Equipment Maintenance""",safety equipment maintenance,19,equipment maintenance
Occupational Health and Safety Technicians," ""Laboratory Testing""",laboratory testing,424,laboratory techniques
Occupational Health and Safety Technicians," ""Data Analysis""",data analysis,148,data analysis
Occupational Health and Safety Technicians," ""Record Keeping""",record keeping,50,record keeping
Occupational Health and Safety Technicians," ""Emergency Response Planning""",emergency response planning,62,emergency response
Occupational Health and Safety Technicians," ""Public Education""",public education,202,public education
Occupational Health and Safety Technicians," ""Health Legislation Enforcement""",health legislation enforcement,988,health legislation enforcement
Occupational Health and Safety Technicians," ""Legal Documentation""",legal documentation,92,technical documentation
Occupational Health and Safety Technicians," ""Hazardous Materials Handling""",hazardous materials handling,989,hazardous materials handling
Occupational Health and Safety Technicians," ""Occupational Health and Safety Standards""",occupational health and safety standards,19,equipment maintenance
Occupational Health and Safety Technicians," ""Workplace Inspection""",workplace inspection,990,workplace inspection
Occupational Health and Safety Technicians," ""Personal Protective Equipment Operation""]",personal protective equipment operation,19,equipment maintenance
Substance Abuse and Behavioral Disorder Counselors,"[""Client assessment""",client assessment,233,client assessment
Substance Abuse and Behavioral Disorder Counselors," ""Treatment planning""",treatment planning,899,treatment planning
Substance Abuse and Behavioral Disorder Counselors," ""Counseling techniques""",counseling techniques,203,counseling techniques
Substance Abuse and Behavioral Disorder Counselors," ""Group therapy""",group therapy,991,group therapy
Substance Abuse and Behavioral Disorder Counselors," ""Individual therapy""",individual therapy,992,individual therapy
Substance Abuse and Behavioral Disorder Counselors," ""Family counseling""",family counseling,203,counseling techniques
Substance Abuse and Behavioral Disorder Counselors," ""Crisis intervention""",crisis intervention,900,crisis intervention
Substance Abuse and Behavioral Disorder Counselors," ""Record keeping""",record keeping,50,record keeping
Substance Abuse and Behavioral Disorder Counselors," ""Program evaluation""",program evaluation,13,program evaluation
Substance Abuse and Behavioral Disorder Counselors," ""Public education""",public education,202,public education
Substance Abuse and Behavioral Disorder Counselors," ""Prevention programs""",prevention programs,993,prevention programs
Substance Abuse and Behavioral Disorder Counselors," ""Health promotion""",health promotion,994,health promotion
Substance Abuse and Behavioral Disorder Counselors," ""Client advocacy""",client advocacy,995,client advocacy
Substance Abuse and Behavioral Disorder Counselors," ""Collaboration with professionals""]",collaboration with professionals,4,communication
"Educational, Guidance, and Career Counselors and Advisors","[""Career Development""",career development,126,career development
"Educational, Guidance, and Career Counselors and Advisors"," ""Counseling Techniques""",counseling techniques,203,counseling techniques
"Educational, Guidance, and Career Counselors and Advisors"," ""Education Planning""",education planning,996,academic planning
"Educational, Guidance, and Career Counselors and Advisors"," ""Personal Growth""",personal growth,997,personal growth
"Educational, Guidance, and Career Counselors and Advisors"," ""Social Adjustment""",social adjustment,998,social adjustment
"Educational, Guidance, and Career Counselors and Advisors"," ""Behavioral Intervention""",behavioral intervention,999,behavioral intervention
"Educational, Guidance, and Career Counselors and Advisors"," ""Crisis Management""",crisis management,201,crisis management
"Educational, Guidance, and Career Counselors and Advisors"," ""Communication Skills""",communication skills,4,communication
"Educational, Guidance, and Career Counselors and Advisors"," ""Interpersonal Skills""",interpersonal skills,4,communication
"Educational, Guidance, and Career Counselors and Advisors"," ""Emotional Intelligence""",emotional intelligence,1000,emotional intelligence
"Educational, Guidance, and Career Counselors and Advisors"," ""Problem Solving""",problem solving,5,problem solving
"Educational, Guidance, and Career Counselors and Advisors"," ""Program Development""]",program development,209,program development
Marriage and Family Therapists,"[""Emotional Support""",emotional support,1001,emotional support
Marriage and Family Therapists," ""Family Dynamics""",family dynamics,1002,family dynamics
