source_soc,source_name,target_soc,target_name,similarity,source_ai_exposure,target_ai_exposure,delta_exposure,n_missing,n_shared,missing_skills,shared_skills
11-9051.00,Food Service Managers,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,0.8851300477981567,0.36,0.215,0.145,1,8,problem analysis,conflict resolution|customer service|equipment maintenance|financial management|food safety|inventory management|personnel management|time management
11-9051.00,Food Service Managers,35-3023.01,Baristas,0.8457857966423035,0.36,0.24,0.12,4,6,point of sale|cash handling|food preparation|communication,customer service|equipment maintenance|food safety|inventory management|problem solving|time management
11-9051.00,Food Service Managers,35-1011.00,Chefs and Head Cooks,0.8261239528656006,0.36,0.25,0.10999999999999999,7,4,recipe development|food presentation|menu planning|cost estimation|food preparation|supply chain management|team management,customer service|equipment maintenance|inventory management|time management
11-9051.00,Food Service Managers,11-9071.00,Gambling Managers,0.8133063912391663,0.36,0.32,0.03999999999999998,8,4,strategic thinking|operational integrity|resource monitoring|performance management|marketing strategies|customer education|financial analysis|operations monitoring,conflict resolution|equipment maintenance|personnel management|time management
11-9051.00,Food Service Managers,35-3041.00,"Food Servers, Nonrestaurant",0.8123018145561218,0.36,0.25,0.10999999999999999,4,6,dietary accommodation|attention to detail|food preparation|communication,customer service|equipment maintenance|food safety|inventory management|problem solving|time management
11-9051.00,Food Service Managers,35-2021.00,Food Preparation Workers,0.8114728927612305,0.36,0.13,0.22999999999999998,10,2,temperature monitoring|food assembly|vegetable preparation|kitchen maintenance|fruit preparation|dishwashing|meat preparation|drink preparation|food storage|food handling,equipment maintenance|inventory management
11-9051.00,Food Service Managers,11-9179.02,Spa Managers,0.8008551597595215,0.36,0.251,0.10899999999999999,7,5,accounting|client record management|sales techniques|marketing strategies|staff supervision|financial analysis|operations monitoring,budgeting|customer service|equipment maintenance|inventory management|time management
11-9051.00,Food Service Managers,35-2011.00,"Cooks, Fast Food",0.7988394498825073,0.36,0.18,0.18,5,5,cooking techniques|food handling|cash handling|food preparation|communication,customer service|equipment maintenance|food safety|inventory management|time management
11-9051.00,Food Service Managers,35-2012.00,"Cooks, Institution and Cafeteria",0.7981350421905518,0.36,0.18,0.18,4,6,portion control|food preparation|supply chain management|team management,customer service|equipment maintenance|financial management|food safety|inventory management|time management
11-9051.00,Food Service Managers,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",0.7909361124038696,0.36,0.29,0.07,5,2,process control|complex problem solving|critical thinking|troubleshooting|operations monitoring,equipment maintenance|time management
11-9071.00,Gambling Managers,11-9179.02,Spa Managers,0.9040346741676331,0.32,0.251,0.069,7,5,accounting|client record management|budgeting|sales techniques|staff supervision|customer service|inventory management,equipment maintenance|financial analysis|marketing strategies|operations monitoring|time management
11-9071.00,Gambling Managers,33-1012.00,First-Line Supervisors of Police and Detectives,0.8759522438049316,0.32,0.23,0.09,8,3,police procedures|evidence handling|community engagement|team management|research methods|communication|critical thinking|problem solving,equipment maintenance|personnel management|time management
11-9071.00,Gambling Managers,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",0.8546135425567627,0.32,0.14,0.18,5,4,scheduling|training and development|team management|communication|problem solving,conflict resolution|equipment maintenance|operations monitoring|time management
11-9071.00,Gambling Managers,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,0.8253129720687866,0.32,0.21,0.11000000000000001,7,3,facility inspection|staff supervision|budgeting|supply chain management|inventory management|record keeping|problem solving,equipment maintenance|operations monitoring|time management
11-9071.00,Gambling Managers,39-9032.00,Recreation Workers,0.8092896938323975,0.32,0.21,0.11000000000000001,8,2,participation encouragement|facility maintenance|program development|event planning|team management|inventory management|risk management|financial management,customer education|equipment maintenance
11-9071.00,Gambling Managers,51-1011.00,First-Line Supervisors of Production and Operating Workers,0.7939539551734924,0.32,0.3,0.020000000000000018,7,2,labor requirements|product development|attendance management|production planning|staff supervision|material handling|record keeping,equipment maintenance|operations monitoring
11-9071.00,Gambling Managers,39-1022.00,First-Line Supervisors of Personal Service Workers,0.7843679189682007,0.32,0.251,0.069,7,4,service delivery|employee relations|scheduling|staff supervision|supply chain management|team management|customer service,conflict resolution|equipment maintenance|operations monitoring|time management
11-9071.00,Gambling Managers,51-8011.00,Nuclear Power Reactor Operators,0.7801689505577087,0.32,0.28,0.03999999999999998,9,2,science|reading comprehension|mathematics|complex problem solving|learning strategies|systems analysis|installation|judgment and decision making|critical thinking,equipment maintenance|operations monitoring
11-9071.00,Gambling Managers,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",0.7697864770889282,0.32,0.1854545454545454,0.1345454545454546,5,3,employee counseling|scheduling|team management|customer service|troubleshooting,conflict resolution|equipment maintenance|time management
11-9071.00,Gambling Managers,39-9041.00,Residential Advisors,0.7677062749862671,0.32,0.21,0.11000000000000001,10,3,group dynamics|household management|facility maintenance|program development|counseling techniques|team management|emergency response|communication|data analysis|financial management,conflict resolution|customer education|equipment maintenance
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",39-9032.00,Recreation Workers,0.8911962509155273,0.3666666666666667,0.21,0.1566666666666667,6,4,participation encouragement|customer education|facility maintenance|program development|inventory management|equipment maintenance,event planning|financial management|risk management|team management
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",11-9071.00,Gambling Managers,0.8534534573554993,0.3666666666666667,0.32,0.04666666666666669,10,2,strategic thinking|operational integrity|resource monitoring|performance management|conflict resolution|marketing strategies|customer education|financial analysis|operations monitoring|equipment maintenance,personnel management|time management
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",11-9179.02,Spa Managers,0.8494539856910706,0.3666666666666667,0.251,0.1156666666666667,9,3,accounting|client record management|sales techniques|marketing strategies|staff supervision|financial analysis|inventory management|operations monitoring|equipment maintenance,budgeting|customer service|time management
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",33-1012.00,First-Line Supervisors of Police and Detectives,0.8151815533638,0.3666666666666667,0.23,0.1366666666666667,6,5,police procedures|evidence handling|community engagement|research methods|critical thinking|equipment maintenance,communication|personnel management|problem solving|team management|time management
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",11-9051.00,Food Service Managers,0.8043332099914551,0.3666666666666667,0.36,0.00666666666666671,5,6,food safety|scheduling|conflict resolution|inventory management|equipment maintenance,budgeting|customer service|financial management|personnel management|problem solving|time management
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",0.7926385402679443,0.3666666666666667,0.14,0.22666666666666668,5,4,scheduling|conflict resolution|training and development|operations monitoring|equipment maintenance,communication|problem solving|team management|time management
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",39-9041.00,Residential Advisors,0.7862088680267334,0.3666666666666667,0.21,0.1566666666666667,9,4,group dynamics|household management|facility maintenance|program development|conflict resolution|customer education|counseling techniques|data analysis|equipment maintenance,communication|emergency response|financial management|team management
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,0.7787045240402222,0.3666666666666667,0.21,0.1566666666666667,7,3,facility inspection|staff supervision|supply chain management|inventory management|record keeping|operations monitoring|equipment maintenance,budgeting|problem solving|time management
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,0.7537505030632019,0.3666666666666667,0.24,0.1266666666666667,6,6,crew management|fire extinguishing techniques|training and development|research methods|operations monitoring|equipment maintenance,communication|emergency response|financial management|personnel management|risk management|time management
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",0.742196798324585,0.3666666666666667,0.155,0.2116666666666667,6,4,groundskeeping operations|landscaping techniques|installation|project management|troubleshooting|equipment maintenance,budgeting|communication|financial management|time management
11-9081.00,Lodging Managers,39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",0.710887610912323,0.37,0.29,0.08000000000000002,8,3,lost and found management|patron conduct|order management|customer service|storage management|supply chain management|inventory management|problem solving,equipment maintenance|facility maintenance|time management
11-9081.00,Lodging Managers,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",0.6880218386650085,0.37,0.3666666666666667,0.0033333333333332993,8,3,event planning|team management|emergency response|customer service|risk management|financial management|problem solving|communication,budgeting|personnel management|time management
11-9081.00,Lodging Managers,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",0.6717302799224854,0.37,0.1854545454545454,0.1845454545454546,6,2,employee counseling|conflict resolution|scheduling|team management|customer service|troubleshooting,equipment maintenance|time management
11-9081.00,Lodging Managers,11-9071.00,Gambling Managers,0.6695557236671448,0.37,0.32,0.04999999999999999,7,5,strategic thinking|operational integrity|resource monitoring|performance management|conflict resolution|marketing strategies|operations monitoring,customer education|equipment maintenance|financial analysis|personnel management|time management
11-9081.00,Lodging Managers,35-3031.00,Waiters and Waitresses,0.6693288683891296,0.37,0.28,0.08999999999999997,9,2,table setting|multitasking|cash handling|attention to detail|food preparation|customer service|inventory management|problem solving|communication,equipment maintenance|time management
11-9081.00,Lodging Managers,11-9051.00,Food Service Managers,0.6654583215713501,0.37,0.36,0.010000000000000009,7,4,food safety|scheduling|conflict resolution|customer service|inventory management|financial management|problem solving,budgeting|equipment maintenance|personnel management|time management
11-9081.00,Lodging Managers,35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",0.6634059548377991,0.37,0.21,0.16,9,2,multitasking|organization|adaptability|attention to detail|conflict resolution|team management|customer service|problem solving|communication,equipment maintenance|time management
11-9081.00,Lodging Managers,11-9199.09,Wind Energy Operations Managers,0.6540294885635376,0.37,0.3666666666666667,0.0033333333333332993,5,4,training coordination|staff supervision|project management|risk management|record keeping,budgeting|equipment maintenance|financial analysis|time management
11-9081.00,Lodging Managers,11-1011.00,Chief Executives,0.6479334831237793,0.37,0.33,0.03999999999999998,5,6,change management|team management|risk management|problem solving|communication,budgeting|decision making|financial analysis|policy development|strategic planning|time management
11-9081.00,Lodging Managers,39-9041.00,Residential Advisors,0.6435002684593201,0.37,0.21,0.16,10,3,group dynamics|household management|program development|conflict resolution|counseling techniques|team management|emergency response|communication|data analysis|financial management,customer education|equipment maintenance|facility maintenance
11-9111.00,Medical and Health Services Managers,29-1141.00,Registered Nurses,0.757788896560669,0.35,0.25,0.09999999999999998,10,1,health maintenance guidance|supervision of nursing personnel|comprehensive care planning|case management|disease prevention|patient monitoring|medication administration|technical documentation|record keeping|operations monitoring,health education
11-9111.00,Medical and Health Services Managers,29-1214.00,Emergency Medicine Physicians,0.7247766256332397,0.35,0.28,0.06999999999999995,10,1,clinical decision making|critical care|vital sign monitoring|medication administration|complex problem solving|emergency response|judgment and decision making|laboratory techniques|record keeping|operations monitoring,time management
11-9111.00,Medical and Health Services Managers,31-2022.00,Physical Therapist Aides,0.7247201204299927,0.35,0.15,0.19999999999999998,10,0,functional activity support|supportive device use|patient transportation|supply ordering|exercise instruction|dressing assistance|clerical duties|patient care techniques|scheduling|inventory management,
11-9111.00,Medical and Health Services Managers,29-1229.02,Hospitalists,0.7231957912445068,0.35,0.28,0.06999999999999995,10,1,clinical decision making|discharge planning|continuous learning|coordination of care|medical diagnosis|medication administration|patient education|treatment planning|team management|laboratory techniques,quality improvement
11-9111.00,Medical and Health Services Managers,21-1091.00,Health Education Specialists,0.7219328880310059,0.35,0.28,0.06999999999999995,9,2,health education materials development|cooperative working relationships|healthcare policy|community outreach|program evaluation|grant writing|training and development|record keeping|operations monitoring,budgeting|health education
11-9111.00,Medical and Health Services Managers,31-9091.00,Dental Assistants,0.7166397571563721,0.35,0.155,0.19499999999999998,10,0,dental instruments|fluoride application|patient communication|vital sign monitoring|scheduling|emergency response|laboratory techniques|inventory management|record keeping|equipment maintenance,
11-9111.00,Medical and Health Services Managers,29-1221.00,"Pediatricians, General",0.7110704183578491,0.35,0.29,0.06,10,2,preventative care|child development|medical research|patient communication|medical diagnosis|disease prevention|patient monitoring|medication administration|treatment planning|record keeping,health education|risk management
11-9111.00,Medical and Health Services Managers,11-9179.02,Spa Managers,0.7099303007125854,0.35,0.251,0.09899999999999998,10,2,accounting|client record management|sales techniques|marketing strategies|staff supervision|customer service|financial analysis|inventory management|operations monitoring|equipment maintenance,budgeting|time management
11-9111.00,Medical and Health Services Managers,29-1071.00,Physician Assistants,0.7027691602706909,0.35,0.23,0.11999999999999997,10,0,complex procedure assistance|health maintenance education|patient continuity of care|patient history|medical supply management|physical examination techniques|medication administration|treatment planning|counseling techniques|laboratory techniques,
11-9111.00,Medical and Health Services Managers,29-1216.00,General Internal Medicine Physicians,0.6964964270591736,0.35,0.29,0.06,9,1,preventative care|medical diagnosis|disease prevention|patient monitoring|medication administration|treatment planning|counseling techniques|communication|critical thinking,health education
11-9121.00,Natural Sciences Managers,11-9199.10,Wind Energy Development Managers,0.8060405254364014,0.4,0.3666666666666667,0.033333333333333326,4,6,stakeholder communication|negotiation|technical documentation|risk management,budgeting|equipment maintenance|financial analysis|project management|report writing|time management
11-9121.00,Natural Sciences Managers,19-4021.00,Biological Technicians,0.7648481726646423,0.4,0.38,0.020000000000000018,9,2,experiment monitoring|sample preparation|laboratory safety|technical support|data recording|data analysis|equipment calibration|supply chain management|troubleshooting,equipment maintenance|research methods
11-9121.00,Natural Sciences Managers,25-1032.00,"Engineering Teachers, Postsecondary",0.7243912220001221,0.4,0.37,0.030000000000000027,10,2,career counseling|student guidance|instructional design|program evaluation|teaching techniques|grant writing|classroom management|curriculum development|laboratory techniques|operations monitoring,financial analysis|research methods
11-9121.00,Natural Sciences Managers,33-1012.00,First-Line Supervisors of Police and Detectives,0.7210593223571777,0.4,0.23,0.17,7,4,police procedures|evidence handling|community engagement|personnel management|communication|critical thinking|problem solving,equipment maintenance|research methods|team management|time management
11-9121.00,Natural Sciences Managers,25-1041.00,"Agricultural Sciences Teachers, Postsecondary",0.702203631401062,0.4,0.37,0.030000000000000027,10,2,scientific literacy|academic writing|academic advising|teaching techniques|classroom management|curriculum development|financial management|critical thinking|problem solving|communication,research methods|time management
11-9121.00,Natural Sciences Managers,47-1011.03,Solar Energy Installation Managers,0.6999449729919434,0.4,0.285,0.11500000000000005,7,6,solar system design|system testing|personnel management|installation|material handling|financial management|troubleshooting,budgeting|equipment maintenance|project management|staff supervision|technical guidance|time management
11-9121.00,Natural Sciences Managers,17-3026.01,Nanotechnology Engineering Technologists and Technicians,0.697145938873291,0.4,0.28,0.12,9,1,nanotechnology research|collaboration skills|process optimization|material analysis|experimental design|equipment calibration|technical documentation|data analysis|troubleshooting,equipment maintenance
11-9121.00,Natural Sciences Managers,11-9151.00,Social and Community Service Managers,0.6916472911834717,0.4,0.37,0.030000000000000027,9,3,volunteer coordination|financial oversight|service delivery|stakeholder communication|community outreach|program evaluation|personnel management|operations monitoring|communication,budgeting|policy development|time management
11-9121.00,Natural Sciences Managers,11-9021.00,Construction Managers,0.6910277009010315,0.4,0.24,0.16000000000000003,5,4,labor management|scheduling|negotiation|risk management|financial management,budgeting|equipment maintenance|project management|time management
11-9121.00,Natural Sciences Managers,11-9071.00,Gambling Managers,0.6822240352630615,0.4,0.32,0.08000000000000002,9,3,strategic thinking|operational integrity|resource monitoring|performance management|conflict resolution|marketing strategies|customer education|personnel management|operations monitoring,equipment maintenance|financial analysis|time management
11-9121.01,Clinical Research Coordinators,11-9199.10,Wind Energy Development Managers,0.7183213233947754,0.4,0.3666666666666667,0.033333333333333326,8,2,stakeholder communication|negotiation|budgeting|report writing|project management|financial analysis|risk management|time management,equipment maintenance|technical documentation
11-9121.01,Clinical Research Coordinators,33-1012.00,First-Line Supervisors of Police and Detectives,0.7094814777374268,0.4,0.23,0.17,10,1,police procedures|evidence handling|community engagement|personnel management|team management|research methods|communication|critical thinking|problem solving|time management,equipment maintenance
11-9121.01,Clinical Research Coordinators,19-4021.00,Biological Technicians,0.7022833228111267,0.4,0.38,0.020000000000000018,10,1,experiment monitoring|sample preparation|laboratory safety|technical support|data recording|data analysis|equipment calibration|supply chain management|research methods|troubleshooting,equipment maintenance
11-9121.01,Clinical Research Coordinators,11-9071.00,Gambling Managers,0.696937084197998,0.4,0.32,0.08000000000000002,10,1,strategic thinking|operational integrity|resource monitoring|performance management|conflict resolution|marketing strategies|customer education|personnel management|financial analysis|operations monitoring,equipment maintenance
11-9121.01,Clinical Research Coordinators,13-1041.07,Regulatory Affairs Specialists,0.6890628933906555,0.4,0.3999999999999999,1.1102230246251565e-16,9,2,regulatory database management|product recall coordination|regulatory policy development|regulatory submission|regulatory risk management|regulatory procedure development|auditing|regulatory knowledge|training and development,equipment maintenance|technical documentation
11-9121.01,Clinical Research Coordinators,11-9179.02,Spa Managers,0.6866756677627563,0.4,0.251,0.14900000000000002,10,1,accounting|client record management|budgeting|sales techniques|marketing strategies|staff supervision|customer service|financial analysis|inventory management|operations monitoring,equipment maintenance
11-9121.01,Clinical Research Coordinators,39-7011.00,Tour Guides and Escorts,0.682266891002655,0.4,0.32,0.08000000000000002,10,1,educational activities|audience adaptation|commentary development|plan adaptation|direction provision|site knowledge|experience management|question response|information provision|route planning,equipment maintenance
11-9121.01,Clinical Research Coordinators,11-9151.00,Social and Community Service Managers,0.6772270798683167,0.4,0.37,0.030000000000000027,10,0,volunteer coordination|financial oversight|service delivery|stakeholder communication|community outreach|program evaluation|policy development|personnel management|budgeting|operations monitoring,
11-9121.01,Clinical Research Coordinators,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",0.6762255430221558,0.4,0.14,0.26,8,1,scheduling|conflict resolution|training and development|team management|communication|problem solving|operations monitoring|time management,equipment maintenance
11-9121.01,Clinical Research Coordinators,13-1041.04,Government Property Inspectors and Investigators,0.671901285648346,0.4,0.3999999999999999,1.1102230246251565e-16,10,1,speaking|reading comprehension|writing skills|active listening|systems analysis|personnel management|complex problem solving|judgment and decision making|material handling|financial management,equipment maintenance
11-9121.02,Water Resource Specialists,17-2051.02,Water/Wastewater Engineers,0.8630928993225098,0.4,0.38,0.020000000000000018,10,2,hydraulic modeling|flood control measures|sludge treatment methods|water distribution network design|water storage facilities design|water efficiency programs development|wastewater management|pipe installation|cost estimation|risk management,water management|water supply planning
11-9121.02,Water Resource Specialists,19-2043.00,Hydrologists,0.7448232173919678,0.4,0.36,0.040000000000000036,8,2,water sampling|flood risk assessment|climate analysis|computer modeling|geological analysis|drilling techniques|risk management|data analysis,hydrologic studies|water management
11-9121.02,Water Resource Specialists,17-2081.00,Environmental Engineers,0.7180823683738708,0.4,0.38,0.020000000000000018,8,1,waste treatment and remediation|environmental policy development|report writing|project management|risk management|communication|data analysis|time management,equipment maintenance
11-9121.02,Water Resource Specialists,19-2041.00,"Environmental Scientists and Specialists, Including Health",0.674860954284668,0.4,0.38,0.020000000000000018,8,1,environmental auditing|scientific guidance|environmental policy development|data visualization|report writing|research methods|risk management|communication,equipment maintenance
11-9121.02,Water Resource Specialists,51-8031.00,Water and Wastewater Treatment Plant and System Operators,0.6682032346725464,0.4,0.27,0.13,7,2,meter reading|wastewater management|chemical handling|chemical analysis|process control|data recording|troubleshooting,equipment maintenance|water management
11-9121.02,Water Resource Specialists,19-1031.00,Conservation Scientists,0.64397132396698,0.4,0.38,0.020000000000000018,10,1,project monitoring|crop rotation|erosion control|gis analysis|natural resource management|soil analysis|soil conservation|land use planning|risk management|communication,water management
11-9121.02,Water Resource Specialists,19-2041.02,Environmental Restoration Planners,0.6166096925735474,0.4,0.38,0.020000000000000018,10,1,environmental modeling|project scheduling|restoration planning|ecological knowledge|gis analysis|natural resource management|regulatory knowledge|animal care|budgeting|grant writing,equipment maintenance
11-9121.02,Water Resource Specialists,17-3025.00,Environmental Engineering Technologists and Technicians,0.5960620045661926,0.4,0.26,0.14,10,1,environmental sampling|field work|remediation techniques|document review|data recording|data analysis|report writing|laboratory techniques|risk management|operations monitoring,equipment maintenance
11-9121.02,Water Resource Specialists,11-9199.11,Brownfield Redevelopment Specialists and Site Managers,0.5921922326087952,0.4,0.3666666666666667,0.033333333333333326,10,2,sustainable regeneration|air quality control|quantitative methods|project feasibility analysis|soil conservation|waste management|cost estimation|negotiation|project management|risk management,equipment maintenance|water management
11-9121.02,Water Resource Specialists,13-1041.01,Environmental Compliance Inspectors,0.5737510919570923,0.4,0.3999999999999999,1.1102230246251565e-16,10,1,field observation|spill prevention|sampling techniques|police procedures|regulatory knowledge|compliance management|waste management|risk management|communication|data analysis,equipment maintenance
11-9131.00,Postmasters and Mail Superintendents,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",0.7847068905830383,0.42,0.41,0.010000000000000009,9,2,mail collection|mail postage affixation|mail routing|mail quality control|mail addressing|mail transfer|mail delivery|mail sorting|record keeping,mail handling|time management
11-9131.00,Postmasters and Mail Superintendents,11-9071.00,Gambling Managers,0.7784978151321411,0.42,0.32,0.09999999999999998,7,5,strategic thinking|operational integrity|resource monitoring|performance management|marketing strategies|customer education|financial analysis,conflict resolution|equipment maintenance|operations monitoring|personnel management|time management
11-9131.00,Postmasters and Mail Superintendents,11-9179.02,Spa Managers,0.7548508048057556,0.42,0.251,0.16899999999999998,7,5,accounting|client record management|budgeting|sales techniques|marketing strategies|financial analysis|inventory management,customer service|equipment maintenance|operations monitoring|staff supervision|time management
11-9131.00,Postmasters and Mail Superintendents,11-9199.09,Wind Energy Operations Managers,0.746789813041687,0.42,0.3666666666666667,0.05333333333333329,6,3,training coordination|budgeting|project management|financial analysis|risk management|record keeping,equipment maintenance|staff supervision|time management
11-9131.00,Postmasters and Mail Superintendents,53-3031.00,Driver/Sales Workers,0.7355241775512695,0.42,0.28,0.13999999999999996,9,3,customer complaint resolution|customer engagement|package delivery|vehicle operation|payment processing|sales techniques|logistics management|financial management|record keeping,customer service|equipment maintenance|time management
11-9131.00,Postmasters and Mail Superintendents,11-1021.00,General and Operations Managers,0.7316017746925354,0.42,0.4014285714285714,0.018571428571428572,6,4,goal setting|policy development|budgeting|supply chain management|financial analysis|financial management,equipment maintenance|operations monitoring|personnel management|time management
11-9131.00,Postmasters and Mail Superintendents,43-5052.00,Postal Service Mail Carriers,0.7208094596862793,0.42,0.41,0.010000000000000009,10,1,walking navigation|package handling|address management|mail delivery|mail sorting|vehicle operation|route planning|customer communication|cash handling|record keeping,time management
11-9131.00,Postmasters and Mail Superintendents,11-3121.00,Human Resources Managers,0.7141841650009155,0.42,0.36,0.06,10,3,compensation analysis|labor relations|talent acquisition|performance management|employee relations|benefits administration|staff recruitment|career development|budgeting|financial analysis,conflict resolution|operations monitoring|personnel management
11-9131.00,Postmasters and Mail Superintendents,33-1012.00,First-Line Supervisors of Police and Detectives,0.7128304243087769,0.42,0.23,0.18999999999999997,6,5,police procedures|evidence handling|community engagement|team management|research methods|critical thinking,communication|equipment maintenance|personnel management|problem solving|time management
11-9131.00,Postmasters and Mail Superintendents,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",0.7084291577339172,0.42,0.14,0.27999999999999997,2,7,training and development|team management,communication|conflict resolution|equipment maintenance|operations monitoring|problem solving|scheduling|time management
11-9141.00,"Property, Real Estate, and Community Association Managers",49-9095.00,Manufactured Building and Mobile Home Installers,0.7556294202804565,0.35,0.09,0.26,10,1,plumbing system installation|gas line repair|work procedure planning|repair planning|exterior panel replacement|technical manual interpretation|damage assessment|frame repair|cost estimation|customer communication,equipment maintenance
11-9141.00,"Property, Real Estate, and Community Association Managers",37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,0.7446662187576294,0.35,0.21,0.13999999999999999,5,5,facility inspection|supply chain management|inventory management|problem solving|operations monitoring,budgeting|equipment maintenance|record keeping|staff supervision|time management
11-9141.00,"Property, Real Estate, and Community Association Managers",39-9041.00,Residential Advisors,0.7305783033370972,0.35,0.21,0.13999999999999999,10,3,group dynamics|household management|facility maintenance|program development|conflict resolution|counseling techniques|team management|emergency response|communication|data analysis,customer education|equipment maintenance|financial management
11-9141.00,"Property, Real Estate, and Community Association Managers",11-9071.00,Gambling Managers,0.6913962364196777,0.35,0.32,0.02999999999999997,8,4,strategic thinking|operational integrity|resource monitoring|performance management|conflict resolution|marketing strategies|personnel management|operations monitoring,customer education|equipment maintenance|financial analysis|time management
11-9141.00,"Property, Real Estate, and Community Association Managers",37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",0.6829625964164734,0.35,0.155,0.19499999999999998,6,4,groundskeeping operations|landscaping techniques|installation|project management|troubleshooting|communication,budgeting|equipment maintenance|financial management|time management
11-9141.00,"Property, Real Estate, and Community Association Managers",49-9071.00,"Maintenance and Repair Workers, General",0.6822081208229065,0.35,0.11,0.24,8,2,mathematics|active learning|systems analysis|complex problem solving|installation|judgment and decision making|critical thinking|troubleshooting,equipment maintenance|time management
11-9141.00,"Property, Real Estate, and Community Association Managers",49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",0.6780547499656677,0.35,0.1854545454545454,0.16454545454545458,6,2,employee counseling|conflict resolution|scheduling|team management|customer service|troubleshooting,equipment maintenance|time management
11-9141.00,"Property, Real Estate, and Community Association Managers",33-9032.00,Security Guards,0.674899697303772,0.35,0.2,0.14999999999999997,10,1,order preservation|property protection|patrol procedures|threat analysis|surveillance techniques|access control|incident reporting|security protocols|first aid techniques|network security,equipment maintenance
11-9141.00,"Property, Real Estate, and Community Association Managers",53-6031.00,Automotive and Watercraft Service Attendants,0.668077826499939,0.35,0.24,0.10999999999999999,9,1,oil changes|fluid replenishment|stock ordering|accessory installation|tire repair|payment processing|cash handling|customer service|inventory management,equipment maintenance
11-9141.00,"Property, Real Estate, and Community Association Managers",53-3032.00,Heavy and Tractor-Trailer Truck Drivers,0.6640423536300659,0.35,0.24,0.10999999999999999,10,3,load securing|route planning|logistics management|personnel management|emergency response|technical documentation|material handling|communication|critical thinking|problem solving,equipment maintenance|financial management|time management
11-9151.00,Social and Community Service Managers,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",0.8332371711730957,0.37,0.3666666666666667,0.0033333333333332993,7,4,event planning|team management|emergency response|customer service|risk management|financial management|problem solving,budgeting|communication|personnel management|time management
11-9151.00,Social and Community Service Managers,11-9179.02,Spa Managers,0.8199059963226318,0.37,0.251,0.119,9,3,accounting|client record management|sales techniques|marketing strategies|staff supervision|customer service|financial analysis|inventory management|equipment maintenance,budgeting|operations monitoring|time management
11-9151.00,Social and Community Service Managers,11-9071.00,Gambling Managers,0.7987613677978516,0.37,0.32,0.04999999999999999,9,3,strategic thinking|operational integrity|resource monitoring|performance management|conflict resolution|marketing strategies|customer education|financial analysis|equipment maintenance,operations monitoring|personnel management|time management
11-9151.00,Social and Community Service Managers,21-1093.00,Social and Human Service Assistants,0.7958848476409912,0.37,0.33,0.03999999999999998,10,0,benefit identification|resource referral|community resource navigation|emotional needs assessment|behavioral strategy development|behavioral management|social service coordination|client advocacy|cognitive function assessment|social support,
11-9151.00,Social and Community Service Managers,33-1012.00,First-Line Supervisors of Police and Detectives,0.7868551015853882,0.37,0.23,0.13999999999999999,8,3,police procedures|evidence handling|community engagement|team management|research methods|critical thinking|problem solving|equipment maintenance,communication|personnel management|time management
11-9151.00,Social and Community Service Managers,11-9032.00,"Education Administrators, Kindergarten through Secondary",0.7751666307449341,0.37,0.36,0.010000000000000009,8,4,discipline enforcement|educational leadership|attendance management|student counseling|instructional design|staff supervision|curriculum development|problem solving,budgeting|communication|personnel management|program evaluation
11-9151.00,Social and Community Service Managers,39-9032.00,Recreation Workers,0.7735997438430786,0.37,0.21,0.16,10,0,participation encouragement|customer education|facility maintenance|program development|event planning|team management|inventory management|risk management|financial management|equipment maintenance,
